CURP,Nombre,TipoLegislacion,Partido,FechaNacimiento,LugarNacimiento,PrincipioEleccion,Zona,UltimoGradoEstudios,PreparacionAcademica,Legislatura,InicioLegislatura,FinLegislatura
albertoanayagutierrez,Alberto Anaya Gutiérrez,Senador Propietario,PT,1946-11-15, Aguascalientes ,Representación Proporcional, Nuevo León ,Licenciatura,Económico-financiera,LVII,1997-08-22,2000-08-31
albertocifuentesnegrete,Alberto Cifuentes Negrete,Diputado Propietario,PAN,1964-11-15, Guanajuato ,Mayoría Relativa, Guanajuato Distrito: 3 (León) ,Licenciatura,Derecho,LVII,1997-08-22,2000-08-31
albertogonzalezdomene,Alberto González Domene,Diputado Propietario,PAN,1935-03-07, Coahuila ,Mayoría Relativa, Coahuila Distrito: 6 (Torreón) ,Pasante/Licenciatura trunca,Otra,LVII,1997-08-22,2000-08-31
albertolopezrosas,Alberto López Rosas,Diputado Propietario,PRD,1954-11-18, ,Mayoría Relativa, Guerrero Distrito: 10 (Acapulco) ,Licenciatura,Derecho,LVII,1997-08-22,2000-08-31
albertomartinezmiranda,Alberto Martínez Miranda,Diputado Propietario,PRD,1958-04-27, ,Mayoría Relativa, México Distrito: 12 (Texcoco de Mora) ,Licenciatura,Derecho,LVII,1997-08-22,2000-08-31
albertosantosdehoyos,Alberto Santos de Hoyos,Senador Propietario,PRI,1942-09-13, Nuevo León ,Mayoría Relativa, Nuevo León ,Licenciatura,Administración y contaduría,LVII,1997-08-22,2000-08-31
albertoulloagodinez,Alberto Ulloa Godínez,Diputado Suplente,PAN,1900-01-01, ,Mayoría Relativa, Jalisco Distrito: 5 (Puerto Vallarta) ,,,LVII,1997-08-22,2000-08-31
alejandrogarciaacevedo,Alejandro García Acevedo,Senador Suplente,PRD,1943-02-15, Nayarit ,Primera Minoría, Nayarit ,Maestría,Ciencias de la educación,LVII,1997-08-22,2000-08-31
alejandrooaxacacarreon,Alejandro Oaxaca Carreón,Diputado Suplente,PRI,1900-01-01, ,Mayoría Relativa, Puebla Distrito: 10 (Atlixco) ,,,LVII,1997-08-22,2000-08-31
alfonsocarrillozavala,Alfonso Carrillo Zavala,Diputado Propietario,PRI,1942-05-28, Campeche ,Representación Proporcional, Campeche Circunscripción: Tercera ,Técnico,,LVII,1997-08-22,2000-08-31
alfonsojosegomezsandovalhernandez,Alfonso José Gómez Sandoval Hernández,Diputado Propietario,PRI,1961-05-31, Oaxaca ,Mayoría Relativa, Oaxaca Distrito: 8 (Oaxaca de Juárez) ,Licenciatura,Derecho,LVII,1997-08-22,2000-08-31
alfonsomartinezdominguez,Alfonso Martínez Domínguez,Senador Propietario,PRI,1905-01-07, Nuevo León ,Representación Proporcional, Nuevo León ,,,LVII,1997-08-22,2000-08-31
alfonsoramirezcuellar,Alfonso Ramírez Cuéllar,Diputado Propietario,PRD,1959-06-14, Zacatecas ,Representación Proporcional, Zacatecas Circunscripción: Segunda ,Licenciatura,Humanidades,LVII,1997-08-22,2000-08-31
alfredolomelirivas,Alfredo Lomelí Rivas,Diputado Propietario,PRI,1954-05-12, Sonora ,Representación Proporcional, Sonora Circunscripción: Primera ,Pasante/Licenciatura trunca,Derecho,LVII,1997-08-22,2000-08-31
alfredomagnogarcimarreroochoa,Alfredo Magno Garcimarrero Ochoa,Senador Suplente,PRD,1939-05-09, Veracruz ,Primera Minoría, Veracruz ,,,LVII,1997-08-22,2000-08-31
alfredophillipsolmedo,Alfredo Phillips Olmedo,Diputado Propietario,PRI,1900-01-01, ,Representación Proporcional, Tamaulipas Circunscripción: Segunda ,Licenciatura,Económico-financiera,LVII,1997-08-22,2000-08-31
alfredovillegasarreola,Alfredo Villegas Arreola,Diputado Propietario,PRI,1951-01-12, Sinaloa ,Mayoría Relativa, Sinaloa Distrito: 3 (Navolato) ,Maestría,Administración y contaduría,LVII,1997-08-22,2000-08-31
almaangelinavucovichseele,Alma Angelina Vucovich Seele,Diputada Propietario,PRD,1946-12-03, ,Representación Proporcional, Sonora Circunscripción: Primera ,Maestría,Administración y contaduría,LVII,1997-08-22,2000-08-31
alonsoulloavelez,Alonso Ulloa Velez,Diputado Suplente,PAN,1966-03-25, Distrito Federal ,Representación Proporcional, Jalisco Circunscripción: Primera ,Licenciatura,Ingeniería,LVII,1997-08-22,2000-08-31
amadorrodriguezlozano,Amador Rodríguez Lozano,Senador Propietario,PRI,1951-02-27, San Luis Potosí ,Mayoría Relativa, Baja California ,Licenciatura,Derecho,LVII,1997-08-22,2000-08-31
amiragriceldagomeztueme,Amira Gricelda Gómez Tueme,Diputada Propietario,PRI,1954-09-21, Nuevo León ,Representación Proporcional, N/A ,Licenciatura,Administración y contaduría,LVII,1997-08-22,2000-08-31
analilaceballostrujeque,Ana Lila Ceballos Trujeque,Diputada Propietario,PRD,1953-04-30, ,Representación Proporcional, Tabasco Circunscripción: Tercera ,Licenciatura,Económico-financiera,LVII,1997-08-22,2000-08-31
anamariadelafuentesolis,Ana María De la Fuente Solís,Diputada Suplente,PRI,1900-01-01, ,Representación Proporcional, N/A ,,,LVII,1997-08-22,2000-08-31
anarosapayancervera,Ana Rosa Payán Cervera,Senadora Propietario,PAN,1951-09-10, Campeche ,Representación Proporcional, Yucatán ,Maestría,Administración y contaduría,LVII,1997-08-22,2000-08-31
anastaciosolislezo,Anastacio Solís Lezo,Diputado Propietario,PRD,1963-04-15, ,Mayoría Relativa, Morelos Distrito: 2 (Yautepec) ,Pasante/Licenciatura trunca,Ingeniería,LVII,1997-08-22,2000-08-31
andresmarcoantoniobernalgutierrez,Andrés Marco Antonio Bernal Gutiérrez,Senador Propietario,PRI,1953-11-30, Tamaulipas ,Representación Proporcional, Tamaulipas ,Maestría,Ciencias políticas y sociales,LVII,1997-08-22,2000-08-31
angelicadelapeñagomez,Angélica De la Peña Gómez,Diputada Propietario,PRD,1954-05-30, Jalisco ,Representación Proporcional, Aguascalientes Circunscripción: Segunda ,Licenciatura,Humanidades,LVII,1997-08-22,2000-08-31
antoniamonicagarciavelazquez,Antonia Mónica García Velázquez,Diputada Propietario,PRI,1969-01-25, Tamaulipas ,Mayoría Relativa, Tamaulipas Distrito: 1 (Nuevo Laredo) ,Licenciatura,Administración y contaduría,LVII,1997-08-22,2000-08-31
antoniobenjaminmanriquezguluarte,Antonio Benjamín Manríquez Guluarte,Diputado Propietario,PRI,1952-02-15, Baja California Sur ,Mayoría Relativa, Baja California Sur Distrito: 2 (La Paz) ,Licenciatura,Derecho,LVII,1997-08-22,2000-08-31
antoniocabellosanchez,Antonio Cabello Sánchez,Diputado Propietario,PRD,1947-02-23, ,Mayoría Relativa, México Distrito: 31 (Nezahualcóyotl) ,Licenciatura,Económico-financiera,LVII,1997-08-22,2000-08-31
antonioesperbujaidar,Antonio Esper Bujaidar,Diputado Propietario,PRI,1931-10-27, San Luis Potosí ,Mayoría Relativa, San Luis Potosí Distrito: 4 (Ciudad Valles) ,,,LVII,1997-08-22,2000-08-31
antoniolagunasangel,Antonio Lagunas Ángel,Diputado Propietario,PRD,1942-01-01, ,Representación Proporcional, Michoacán Circunscripción: Quinta ,,,LVII,1997-08-22,2000-08-31
antoniopalominorivera,Antonio Palomino Rivera,Diputado Propietario,PRD,1931-04-10, ,Mayoría Relativa, Distrito Federal Distrito: 3 (Azcapotzalco) ,Pasante/Licenciatura trunca,Derecho,LVII,1997-08-22,2000-08-31
antoniosotosanchez,Antonio Soto Sánchez,Diputado Propietario,PRD,1964-06-12, Michoacán ,Mayoría Relativa, Michoacán Distrito: 13 (Lázaro Cárdenas) ,Maestría,Ciencias políticas y sociales,LVII,1997-08-22,2000-08-31
aquileoherreramunguia,Aquileo Herrera Munguía,Diputado Propietario,PRI,1955-05-16, Veracruz ,Mayoría Relativa, Veracruz Distrito: 15 (Orizaba) ,Licenciatura,Administración y contaduría,LVII,1997-08-22,2000-08-31
aracelyescalantejasso,Aracely Escalante Jasso,Diputada Propietario,PRI,1943-07-17, Campeche ,Mayoría Relativa, Campeche Distrito: 2 (Ciudad del Carmen) ,Secundaria,,LVII,1997-08-22,2000-08-31
arelimadridtovilla,Areli Madrid Tovilla,Diputada Propietario,PRI,1952-02-18, Chiapas ,Mayoría Relativa, Chiapas Distrito: 11 (Huixtla) ,Doctorado,Derecho,LVII,1997-08-22,2000-08-31
armandoaguirrehervis,Armando Aguirre Hervis,Diputado Propietario,PRD,1955-04-18, Veracruz ,Representación Proporcional, N/A ,Licenciatura,Ciencias de la salud,LVII,1997-08-22,2000-08-31
armandochavarriabarrera,Armando Chavarría Barrera,Diputado Propietario,PRD,1956-08-27, Guerrero ,Representación Proporcional, Guerrero Circunscripción: Quinta ,Maestría,Comunicación,LVII,1997-08-22,2000-08-31
armandolopezromero,Armando López Romero,Diputado Propietario,Ind.,1952-02-14, ,Mayoría Relativa, Distrito Federal Distrito: 24 (Coyoacán) ,,,LVII,1997-08-22,2000-08-31
armandoneyrachavez,Armando Neyra Chávez,Diputado Propietario,PRI,1937-02-18, México ,Representación Proporcional, México Circunscripción: Quinta ,Ninguno,,LVII,1997-08-22,2000-08-31
armandorangelhernandez,Armando Rangel Hernández,Diputado Propietario,PAN,1965-10-20, Guanajuato ,Mayoría Relativa, Guanajuato Distrito: 2 (San Miguel de Allende) ,Licenciatura,Ingeniería,LVII,1997-08-22,2000-08-31
arquimidesleonovando,Arquímides León Ovando,Diputado Propietario,PRI,1953-08-02, Chiapas ,Mayoría Relativa, Chiapas Distrito: 1 (Palenque) ,Profesor Normalista,Ciencias de la educación,LVII,1997-08-22,2000-08-31
artemiocaamalhernandez,Artemio Caamal Hernández,Diputado Propietario,PRI,1946-10-20, Yucatán ,Mayoría Relativa, Quintana Roo Distrito: 2 (Chetumal) ,Técnico,Ciencias de la educación,LVII,1997-08-22,2000-08-31
arturocharlescharles,Arturo Charles Charles,Diputado Propietario,PRI,1939-02-07, Nuevo León ,Mayoría Relativa, Nuevo León Distrito: 9 (Linares) ,Licenciatura,Derecho,LVII,1997-08-22,2000-08-31
arturojairogarciaquintanar,Arturo Jairo García Quintanar,Diputado Propietario,PRI,1950-06-15, Zacatecas ,Representación Proporcional, Zacatecas Circunscripción: Segunda ,Licenciatura,Económico-financiera,LVII,1997-08-22,2000-08-31
arturonavabolaños,Arturo Nava Bolaños,Senador Propietario,PAN,1941-11-15, Michoacán ,Primera Minoría, Querétaro ,,,LVII,1997-08-22,2000-08-31
arturosaizcalderongarcia,Arturo Saiz Calderón García,Diputado Propietario,PAN,1946-06-12, Distrito Federal ,Mayoría Relativa, Guanajuato Distrito: 6 (León) ,Maestría,Administración y contaduría,LVII,1997-08-22,2000-08-31
augustorafaelcarrionalvarez,Augusto Rafael Carrión Álvarez,Diputado Propietario,PRI,1954-10-12, Veracruz ,Mayoría Relativa, Veracruz Distrito: 19 (San Andrés Tuxtla) ,Licenciatura,Derecho,LVII,1997-08-22,2000-08-31
auldaricohernandezgeronimo,Auldárico Hernández Gerónimo,Senador Propietario,PRD,1964-03-10, Tabasco ,Primera Minoría, Tabasco ,,,LVII,1997-08-22,2000-08-31
aurorabazanlopez,Aurora Bazán López,Diputada Propietario,PVEM,1900-01-01, ,Representación Proporcional, Oaxaca Circunscripción: Tercera ,Licenciatura,Ciencias de la salud,LVII,1997-08-22,2000-08-31
baldemardzulnoh,Baldemar Dzul Noh,Diputado Propietario,PT,1964-01-20, Yucatán ,Representación Proporcional, N/A ,Preparatoria,,LVII,1997-08-22,2000-08-31
baldemartudonmartinez,Baldemar Tudón Martínez,Diputado Propietario,PAN,1965-03-08, Nuevo León ,Mayoría Relativa, Nuevo León Distrito: 3 (San Nicolás de los Garza) ,Licenciatura,Derecho,LVII,1997-08-22,2000-08-31
beatrizelenaparedesrangel,Beatriz Elena Paredes Rangel,Senadora Propietario,PRI,1953-08-18, Tlaxcala ,Representación Proporcional, Tlaxcala ,Pasante/Licenciatura trunca,Otra,LVII,1997-08-22,2000-08-31
benignoaladrofernandez,Benigno Aladro Fernández,Senador Propietario,PAN,1948-07-06, Hidalgo ,Primera Minoría, Hidalgo ,Licenciatura,Administración y contaduría,LVII,1997-08-22,2000-08-31
benitofernandoroselisaac,Benito Fernando Rosel Isaac,Senador Propietario,PAN,1939-05-26, Yucatán ,Primera Minoría, Yucatán ,,,LVII,1997-08-22,2000-08-31
benitomironlince,Benito Mirón Lince,Diputado Propietario,PRD,1947-01-25, ,Mayoría Relativa, Distrito Federal Distrito: 20 (Iztapalapa) ,Licenciatura,Derecho,LVII,1997-08-22,2000-08-31
benjamingallegossoto,Benjamín Gallegos Soto,Diputado Propietario,PAN,1960-04-22, Aguascalientes ,Mayoría Relativa, Aguascalientes Distrito: 2 (Aguascalientes) ,Técnico,Otra,LVII,1997-08-22,2000-08-31
bernardobatizvazquez,Bernardo Bátiz Vázquez,Diputado Propietario,PRD,1936-09-14, ,Representación Proporcional, Distrito Federal Circunscripción: Cuarta ,Maestría,Derecho,LVII,1997-08-22,2000-08-31
bernardosegurarivera,Bernardo Segura Rivera,Diputado Propietario,PRD,1970-02-11, ,Representación Proporcional, México Circunscripción: Quinta ,Licenciatura,Ciencias de la educación,LVII,1997-08-22,2000-08-31
berthahernandezrodriguez,Bertha Hernández Rodríguez,Diputada Propietario,PRI,1948-02-28, Veracruz ,Mayoría Relativa, Veracruz Distrito: 11 (Coatepec) ,Licenciatura,Administración y contaduría,LVII,1997-08-22,2000-08-31
blancarosagarciagalvan,Blanca Rosa García Galván,Diputada Propietario,PRI,1960-07-27, Tamaulipas ,Mayoría Relativa, Tamaulipas Distrito: 8 (Tampico) ,Licenciatura,Comunicación,LVII,1997-08-22,2000-08-31
bonfiliopeñalozagarcia,Bonfilio Peñaloza García,Diputado Propietario,PRD,1961-05-09, ,Representación Proporcional, Guerrero Circunscripción: Quinta ,Licenciatura,Ciencias de la salud,LVII,1997-08-22,2000-08-31
brauliomanuelfernandezaguirre,Braulio Manuel Fernández Aguirre,Diputado Propietario,PRI,1941-06-17, Coahuila ,Mayoría Relativa, Coahuila Distrito: 5 (Torreón) ,Licenciatura,Administración y contaduría,LVII,1997-08-22,2000-08-31
brunoespejelbasaldua,Bruno Espejel Basaldúa,Diputado Propietario,PRD,1954-06-12, Distrito Federal ,Mayoría Relativa, Distrito Federal Distrito: 13 (Iztacalco) ,Pasante/Licenciatura trunca,Arquitectura y diseño,LVII,1997-08-22,2000-08-31
carlosantonioherediazubieta,Carlos Antonio Heredia Zubieta,Diputado Propietario,PRD,1956-04-02, ,Representación Proporcional, Tamaulipas Circunscripción: Segunda ,Maestría,Económico-financiera,LVII,1997-08-22,2000-08-31
carlosantonioromerodeschamps,Carlos Antonio Romero Deschamps,Senador Propietario,PRI,1944-01-17, Tamaulipas ,Mayoría Relativa, Hidalgo ,Licenciatura,Administración y contaduría,LVII,1997-08-22,2000-08-31
carlosfernandorosascortes,Carlos Fernando Rosas Cortes,Diputado Propietario,PRI,1900-01-01, ,Mayoría Relativa, Tabasco Distrito: 3 (Comalcalco) ,Licenciatura,Ciencias de la salud,LVII,1997-08-22,2000-08-31
carlosfranciscoarcemacias,Carlos Francisco Arce Macías,Diputado Propietario,PAN,1955-05-30, ,Representación Proporcional, N/A ,Licenciatura,Derecho,LVII,1997-08-22,2000-08-31
carlosfroylang.camachoalcazar,Carlos Froylán G. Camacho Alcázar,Diputado Propietario,PAN,1954-05-07, Chihuahua ,Mayoría Relativa, Chihuahua Distrito: 4 (Ciudad Juárez) ,Licenciatura,Derecho,LVII,1997-08-22,2000-08-31
carloshernandosobrinosierra,Carlos Hernando Sobrino Sierra,Diputado Propietario,PRI,1900-01-01, ,Mayoría Relativa, Yucatán Distrito: 5 (Ticul) ,Licenciatura,Económico-financiera,LVII,1997-08-22,2000-08-31
carlosiñiguezcervantes,Carlos Iñiguez Cervantes,Diputado Propietario,PAN,1947-02-14, Jalisco ,Mayoría Relativa, Jalisco Distrito: 13 (Guadalajara) ,Secundaria,,LVII,1997-08-22,2000-08-31
carlosjaimerodriguezvelasco,Carlos Jaime Rodríguez Velasco,Diputado Propietario,PRI,1900-01-01, ,Mayoría Relativa, Veracruz Distrito: 10 (Xalapa) ,Licenciatura,Derecho,LVII,1997-08-22,2000-08-31
carlosmartinjimenezmacias,Carlos Martín Jiménez Macías,Diputado Propietario,PRI,1950-05-01, San Luis Potosí ,Representación Proporcional, San Luis Potosí Circunscripción: Segunda ,Licenciatura,Derecho,LVII,1997-08-22,2000-08-31
carlosmedinaplascencia,Carlos Medina Plascencia,Diputado Propietario,PAN,1955-08-14, Guanajuato ,Representación Proporcional, Guanajuato Circunscripción: Primera ,Maestría,Administración y contaduría,LVII,1997-08-22,2000-08-31
carlosorsoemoralesvazquez,Carlos Orsoe Morales Vázquez,Diputado Propietario,PRD,1957-10-27, Chiapas ,Mayoría Relativa, Chiapas Distrito: 9 (Tuxtla Gutiérrez) ,Licenciatura,Derecho,LVII,1997-08-22,2000-08-31
carlospayanvelver,Carlos Payán Velver,Senador Propietario,PRD,1905-02-02, Distrito Federal ,Representación Proporcional, Distrito Federal ,,,LVII,1997-08-22,2000-08-31
carolinao´farrilltapia,Carolina O´Farrill Tapia,Diputada Propietario,Ind.,1900-01-01, ,Representación Proporcional, Distrito Federal Circunscripción: Cuarta ,,,LVII,1997-08-22,2000-08-31
ceciliaeulalialopezrodriguez,Cecilia Eulalia López Rodríguez,Diputada Propietario,PRI,1938-11-22, México ,Mayoría Relativa, México Distrito: 35 (Tenancingo de Degollado) ,Profesor Normalista,,LVII,1997-08-22,2000-08-31
celsofuentesramirez,Celso Fuentes Ramírez,Diputado Propietario,PRI,1950-06-29, Puebla ,Mayoría Relativa, Puebla Distrito: 12 (Heroica Puebla de Zaragoza) ,Licenciatura,Ciencias políticas y sociales,LVII,1997-08-22,2000-08-31
cirilasanchezmendoza,Cirila Sánchez Mendoza,Senadora Propietario,PRI,1952-07-09, Oaxaca ,Mayoría Relativa, Oaxaca ,,,LVII,1997-08-22,2000-08-31
claramarinabrugadamolina,Clara Marina Brugada Molina,Diputada Propietario,PRD,1963-08-12, Distrito Federal ,Mayoría Relativa, Distrito Federal Distrito: 22 (Iztapalapa) ,Licenciatura,Económico-financiera,LVII,1997-08-22,2000-08-31
clarisacatalinatorresmendez,Clarisa Catalina Torres Méndez,Diputada Propietario,PRI,1900-01-01, ,Representación Proporcional, Baja California Circunscripción: Primera ,Doctorado,Ciencias políticas y sociales,LVII,1997-08-22,2000-08-31
claudiacarmenfragosolopez,Claudia Carmen Fragoso López,Diputada Propietario,PRD,1957-05-18, ,Mayoría Relativa, México Distrito: 13 (Ecatepec de Morelos) ,Licenciatura,Económico-financiera,LVII,1997-08-22,2000-08-31
claudiomarinoguerralopez,Claudio Marino Guerra López,Diputado Propietario,PRI,1938-05-18, Oaxaca ,Mayoría Relativa, Oaxaca Distrito: 10 (Miahuatlán de Porfirio Díaz) ,Licenciatura,Económico-financiera,LVII,1997-08-22,2000-08-31
crescencianoespañamorales,Crescenciano España Morales,Senador Propietario,PRI,1938-05-05, Puebla ,Mayoría Relativa, Puebla ,,,LVII,1997-08-22,2000-08-31
cristinaportilloayala,Cristina Portillo Ayala,Diputada Propietario,PRD,1969-12-30, Michoacán ,Representación Proporcional, Michoacán Circunscripción: Quinta ,Licenciatura,Otra,LVII,1997-08-22,2000-08-31
cristobalariassolis,Cristóbal Arias Solís,Senador Propietario,PRD,1954-08-10, Michoacán ,Primera Minoría, Michoacán ,Licenciatura,Derecho,LVII,1997-08-22,2000-08-31
crisogonosanchezlara,Crisógono Sánchez Lara,Diputado Propietario,PRI,1900-01-01, ,Mayoría Relativa, San Luis Potosí Distrito: 7 (Tamazunchale) ,,,LVII,1997-08-22,2000-08-31
cuauhtemocsandovalramirez,Cuauhtémoc Sandoval Ramírez,Senador Suplente,PRD,1950-08-14, Guerrero ,Representación Proporcional, N/A ,Licenciatura,Humanidades,LVII,1997-08-22,2000-08-31
cupertinoalejodominguez,Cupertino Alejo Domínguez,Diputado Propietario,PRI,1946-09-22, Puebla ,Mayoría Relativa, Puebla Distrito: 7 (Tepeaca) ,Técnico,Ciencias de la educación,LVII,1997-08-22,2000-08-31
cesaragustinpinedacastillo,César Agustín Pineda Castillo,Diputado Propietario,PRD,1953-03-22, ,Representación Proporcional, Oaxaca Circunscripción: Tercera ,Licenciatura,Derecho,LVII,1997-08-22,2000-08-31
cesarlonchecastellanos,César Lonche Castellanos,Diputado Propietario,Ind.,1961-04-06, ,Mayoría Relativa, Distrito Federal Distrito: 1 (Gustavo A. Madero) ,,,LVII,1997-08-22,2000-08-31
daviddaviladominguez,David Dávila Domínguez,Diputado Propietario,PRI,1939-11-03, Veracruz ,Mayoría Relativa, Veracruz Distrito: 20 (Acayucan) ,Licenciatura,Derecho,LVII,1997-08-22,2000-08-31
davidmiguelnoyolamartinez,David Miguel Noyola Martínez,Diputado Propietario,PRD,1957-12-29, ,Mayoría Relativa, México Distrito: 17 (Ecatepec de Morelos) ,Licenciatura,Ciencias de la educación,LVII,1997-08-22,2000-08-31
davidricardocervantesperedo,David Ricardo Cervantes Peredo,Diputado Propietario,PRD,1959-11-08, ,Mayoría Relativa, Distrito Federal Distrito: 30 (Tlalpan) ,Licenciatura,Arquitectura y diseño,LVII,1997-08-22,2000-08-31
demetriojaviersodidelatijera,Demetrio Javier Sodi de la Tijera,Diputado Propietario,PRD,1944-09-25, Distrito Federal ,Mayoría Relativa, Distrito Federal Distrito: 26 (Magdalena Contreras) ,Licenciatura,Administración y contaduría,LVII,1997-08-22,2000-08-31
diegoaguilaracuña,Diego Aguilar Acuña,Diputado Propietario,PRI,1946-11-13, Sinaloa ,Representación Proporcional, N/A ,Secundaria,,LVII,1997-08-22,2000-08-31
dionisioalfredomeadeygarciadeleon,Dionisio Alfredo Meade y García de León,Diputado Propietario,PRI,1944-02-12, Distrito Federal ,Representación Proporcional, Distrito Federal Circunscripción: Cuarta ,Licenciatura,Derecho,LVII,1997-08-22,2000-08-31
domingoyoriosaqui,Domingo Yorio Saqui,Diputado Propietario,PRI,1900-01-01, ,Mayoría Relativa, Veracruz Distrito: 6 (Papantla de Olarte) ,Licenciatura,Derecho,LVII,1997-08-22,2000-08-31
edgarmartinramirezpech,Edgar Martín Ramírez Pech,Diputado Propietario,PAN,1968-01-23, Yucatán ,Mayoría Relativa, Yucatán Distrito: 4 (Mérida) ,Licenciatura,Administración y contaduría,LVII,1997-08-22,2000-08-31
efrainarizmendiuribe,Efraín Arizmendi Uribe,Diputado Suplente,PAN,1961-12-18, Guerrero ,Representación Proporcional, Distrito Federal Circunscripción: Cuarta ,Doctorado,Ciencias de la salud,LVII,1997-08-22,2000-08-31
efrainzuñigagaleana,Efraín Zúñiga Galeana,Diputado Propietario,PRI,1942-05-26, Guerrero ,Representación Proporcional, Guerrero Circunscripción: Quinta ,Licenciatura,Derecho,LVII,1997-08-22,2000-08-31
efrenenriquezordoñez,Efrén Enríquez Ordóñez,Diputado Propietario,PRI,1955-04-26, Durango ,Representación Proporcional, Durango Circunscripción: Segunda ,Licenciatura,Derecho,LVII,1997-08-22,2000-08-31
elbaesthergordillomorales,Elba Esther Gordillo Morales,Senadora Propietario,PRI,1945-02-06, Chiapas ,Representación Proporcional, Chiapas ,Profesor Normalista,,LVII,1997-08-22,2000-08-31
elbamargaritacapuchinoherrera,Elba Margarita Capuchino Herrera,Diputada Propietario,PRD,1955-08-05, Distrito Federal ,Representación Proporcional, Quintana Roo Circunscripción: Tercera ,Técnico,Arquitectura y diseño,LVII,1997-08-22,2000-08-31
eleazarrobledosicairos,Eleazar Robledo Sicairos,Senador Suplente,PRI,1944-01-07, Sinaloa ,Mayoría Relativa, Sinaloa ,Profesor Normalista,Ciencias de la educación,LVII,1997-08-22,2000-08-31
elihersaulfloresprieto,Eliher Saúl Flores Prieto,Diputado Propietario,PAN,1940-06-05, Chihuahua ,Mayoría Relativa, Chihuahua Distrito: 3 (Ciudad Juárez) ,Licenciatura,Económico-financiera,LVII,1997-08-22,2000-08-31
elodiagutierrezestrada,Elodia Gutiérrez Estrada,Diputada Propietario,PAN,1954-06-10, Coahuila ,Representación Proporcional, N/A ,Licenciatura,Ciencias políticas y sociales,LVII,1997-08-22,2000-08-31
eloycantusegovia,Eloy Cantú Segovia,Senador Propietario,PRI,1952-09-24, Nuevo León ,Mayoría Relativa, Nuevo León ,Doctorado,Derecho,LVII,1997-08-22,2000-08-31
