CURP,Nombre,TipoLegislacion,Partido,FechaNacimiento,LugarNacimiento,PrincipioEleccion,Zona,UltimoGradoEstudios,PreparacionAcademica,Legislatura,InicioLegislatura,FinLegislatura
albertodiaztrujillo,Alberto Díaz Trujillo,Diputado Propietario,PAN,07/11/1975, México ,Mayoría Relativa, México Distrito: 15 (Tlalnepantla de Baz) ,Licenciatura,Derecho,LXII,29/08/2012,31/08/2015
aleidaalavezruiz,Aleida Alavez Ruiz,Diputada Propietario,PRD,10/01/1974, Distrito Federal ,Mayoría Relativa, Distrito Federal Distrito: 19 (Iztapalapa) ,Licenciatura,Comunicación,LXII,29/08/2012,31/08/2015
alejandralopeznoriega,Alejandra López Noriega,Diputada Propietario,PAN,05/01/1970, Sonora ,Mayoría Relativa, Sonora Distrito: 3 (Hermosillo) ,Licenciatura,Ingeniería,LXII,29/08/2012,31/08/2015
alejandrorangelsegovia,Alejandro Rangel Segovia,Diputado Propietario,PRI,29/08/1962, Guanajuato ,Mayoría Relativa, Guanajuato Distrito: 9 (Irapuato) ,Maestría,Económico-financiera,LXII,29/08/2012,31/08/2015
alejandrosanchezcamacho,Alejandro Sánchez Camacho,Diputado Propietario,PRD,26/08/1960, Distrito Federal ,Mayoría Relativa, Distrito Federal Distrito: 21 (Xochimilco) ,Licenciatura,Humanidades,LXII,29/08/2012,31/08/2015
alfaelianagonzalezmagallanes,Alfa Eliana González Magallanes,Diputada Propietario,PRD,28/05/1981, Coahuila ,Representación Proporcional, Coahuila Circunscripción: Segunda ,Licenciatura,Derecho,LXII,29/08/2012,31/08/2015
alfonsoinzunzamontoya,Alfonso Inzunza Montoya,Diputado Propietario,PRI,14/11/1949, Sinaloa ,Mayoría Relativa, Sinaloa Distrito: 3 (Guamuchil) ,Licenciatura,Ingeniería,LXII,29/08/2012,31/08/2015
alfredoanayagudiño,Alfredo Anaya Gudiño,Diputado Propietario,PRI,08/11/1950, ,Representación Proporcional, Michoacán Circunscripción: Quinta ,Licenciatura,Humanidades,LXII,29/08/2012,31/08/2015
alfredorivadeneyrahernandez,Alfredo Rivadeneyra Hernández,Diputado Propietario,PAN,08/06/1971, México ,Representación Proporcional, México Circunscripción: Quinta ,Licenciatura,Ingeniería,LXII,29/08/2012,31/08/2015
alfredozamoragarcia,Alfredo Zamora García,Diputado Propietario,PAN,28/03/1963, Durango ,Representación Proporcional, Baja California Sur Circunscripción: Primera ,Licenciatura,Derecho,LXII,29/08/2012,31/08/2015
aliciaconcepcionricaldemagaña,Alicia Concepción Ricalde Magaña,Diputada Propietario,PAN,10/11/1965, Quintana Roo ,Representación Proporcional, Quintana Roo Circunscripción: Tercera ,Preparatoria,,LXII,29/08/2012,31/08/2015
allietmarianabautistabravo,Alliet Mariana Bautista Bravo,Diputada Propietario,PRD,19/01/1968, Distrito Federal ,Mayoría Relativa, México Distrito: 30 (Ciudad Nezahualcóyotl) ,Maestría,Ciencias políticas y sociales,LXII,29/08/2012,31/08/2015
almajeannyarroyoruiz,Alma Jeanny Arroyo Ruiz,Diputada Propietario,PRI,27/11/1975, Veracruz ,Mayoría Relativa, Veracruz Distrito: 6 (Papantla de Olarte) ,Pasante/Licenciatura trunca,Derecho,LXII,29/08/2012,31/08/2015
almamarinavitelarodriguez,Alma Marina Vitela Rodríguez,Diputada Propietario,PRI,26/12/1965, Durango ,Mayoría Relativa, Durango Distrito: 2 (Gómez Palacio) ,Licenciatura,Ciencias de la salud,LXII,29/08/2012,31/08/2015
amiragriceldagomeztueme,Amira Gricelda Gómez Tueme,Diputada Propietario,PRI,21/09/1954, Nuevo León ,Representación Proporcional, Tamaulipas Circunscripción: Segunda ,Licenciatura,Administración y contaduría,LXII,29/08/2012,31/08/2015
amilcaraugustovillafuertetrujillo,Amílcar Augusto Villafuerte Trujillo,Diputado Propietario,PVEM,31/01/1964, Chiapas ,Mayoría Relativa, Chiapas Distrito: 3 (Ocosingo) ,Profesor Normalista,Ciencias de la educación,LXII,29/08/2012,31/08/2015
anaisabelallendecano,Ana Isabel Allende Cano,Diputada Propietario,PRI,29/06/1983, Puebla ,Mayoría Relativa, Puebla Distrito: 8 (Ciudad Serdán) ,Maestría,Ciencias políticas y sociales,LXII,29/08/2012,31/08/2015
analiliagarzacadena,Ana Lilia Garza Cadena,Diputada Propietario,PVEM,09/04/1970, Nuevo León ,Representación Proporcional, Baja California Circunscripción: Primera ,Licenciatura,Derecho,LXII,29/08/2012,31/08/2015
andresdelarosaanaya,Andrés De la Rosa Anaya,Diputado Propietario,PAN,08/05/1971, Baja California ,Representación Proporcional, Baja California Circunscripción: Primera ,Licenciatura,Derecho,LXII,29/08/2012,31/08/2015
andreseloymartinezrojas,Andrés Eloy Martínez Rojas,Diputado Propietario,Morena,23/06/1963, Morelos ,Mayoría Relativa, Morelos Distrito: 4 (Jojutla) ,,,LXII,29/08/2012,31/08/2015
andresmarcoantoniobernalgutierrez,Andrés Marco Antonio Bernal Gutiérrez,Diputado Propietario,PRI,30/11/1953, Tamaulipas ,Representación Proporcional, Tamaulipas Circunscripción: Segunda ,Maestría,Ciencias políticas y sociales,LXII,29/08/2012,31/08/2015
angelicarociomelchorvasquez,Angélica Rocío Melchor Vásquez,Diputada Propietario,PRD,12/04/1980, Oaxaca ,Representación Proporcional, Oaxaca Circunscripción: Tercera ,Licenciatura,Derecho,LXII,29/08/2012,31/08/2015
antoniocuellarsteffan,Antonio Cuéllar Steffan,Diputado Propietario,PVEM,10/05/1968, Distrito Federal ,Representación Proporcional, Aguascalientes Circunscripción: Segunda ,Maestría,Derecho,LXII,29/08/2012,31/08/2015
antoniofranciscoastiazarangutierrez,Antonio Francisco Astiazarán Gutiérrez,Diputado Propietario,PRI,13/07/1971, Sonora ,Mayoría Relativa, Sonora Distrito: 4 (Guaymas) ,Maestría,Ciencias políticas y sociales,LXII,29/08/2012,31/08/2015
antoniogarciaconejo,Antonio García Conejo,Diputado Propietario,PRD,05/09/1971, Michoacán ,Mayoría Relativa, Michoacán Distrito: 11 (Pátzcuaro) ,Licenciatura,Derecho,LXII,29/08/2012,31/08/2015
antoniosansoressastre,Antonio Sansores Sastré,Diputado Propietario,PRD,07/01/1964, Tabasco ,Mayoría Relativa, Tabasco Distrito: 6 (Villahermosa) ,Licenciatura,Ciencias de la salud,LXII,29/08/2012,31/08/2015
antoniodejesusdiazathie,Antonio de Jesús Díaz Athié,Diputado Propietario,PRI,14/01/1958, ,Mayoría Relativa, Chiapas Distrito: 12 (Tapachula) ,Licenciatura,Derecho,LXII,29/08/2012,31/08/2015
aracelitorresflores,Araceli Torres Flores,Diputada Propietario,PT,17/10/1960, México ,Representación Proporcional, Veracruz Circunscripción: Tercera ,Primaria,,LXII,29/08/2012,31/08/2015
arelimadridtovilla,Areli Madrid Tovilla,Diputada Propietario,PRI,18/02/1952, Chiapas ,Representación Proporcional, Chiapas Circunscripción: Tercera ,Doctorado,Derecho,LXII,29/08/2012,31/08/2015
armandocontrerasceballos,Armando Contreras Ceballos,Diputado Propietario,PRD,29/03/1962, Michoacán ,Mayoría Relativa, Michoacán Distrito: 2 (Puruandiro) ,Profesor Normalista,Ciencias de la educación,LXII,29/08/2012,31/08/2015
arnoldoochoagonzalez,Arnoldo Ochoa González,Diputado Propietario,PRI,27/01/1951, Colima ,Representación Proporcional, Colima Circunscripción: Quinta ,Maestría,Derecho,LXII,29/08/2012,31/08/2015
arturocruzramirez,Arturo Cruz Ramírez,Diputado Propietario,PRD,15/12/1954, Distrito Federal ,Mayoría Relativa, México Distrito: 32 (Valle de Chalco Solidaridad) ,Licenciatura,Ciencias de la educación,LXII,29/08/2012,31/08/2015
arturoescobaryvega,Arturo Escobar y Vega,Diputado Propietario,PVEM,23/04/1970, Distrito Federal ,Representación Proporcional, Distrito Federal Circunscripción: Cuarta ,,,LXII,29/08/2012,31/08/2015
auroradelaluzaguilarrodriguez,Aurora de la Luz Aguilar  Rodríguez,Diputada Propietario,PAN,15/06/1967, Tamaulipas ,Representación Proporcional, Tlaxcala Circunscripción: Cuarta ,Licenciatura,Administración y contaduría,LXII,29/08/2012,31/08/2015
aidafabiolavalenciaramirez,Aída Fabiola Valencia Ramírez,Diputada Propietario,MC,31/01/1978, Oaxaca ,Mayoría Relativa, Oaxaca Distrito: 10 (Miahuatlán de Porfirio Díaz) ,Licenciatura,Administración y contaduría,LXII,29/08/2012,31/08/2015
beatrizeugeniayamamotocazares,Beatriz Eugenia Yamamoto Cázares,Diputada Propietario,PAN,16/05/1950, Guanajuato ,Representación Proporcional, Guanajuato Circunscripción: Segunda ,Profesor Normalista,,LXII,29/08/2012,31/08/2015
benitocaballerogarza,Benito Caballero Garza,Diputado Propietario,PRI,24/09/1965, Nuevo León ,Mayoría Relativa, Nuevo León Distrito: 2 (Apodaca) ,Maestría,Derecho,LXII,29/08/2012,31/08/2015
benjamincastillovaldez,Benjamín Castillo Valdez,Diputado Propietario,PRI,30/03/1959, Baja California ,Mayoría Relativa, Baja California Distrito: 1 (Mexicali) ,Licenciatura,Ingeniería,LXII,29/08/2012,31/08/2015
blancaestelagomezcarmona,Blanca Estela Gómez Carmona,Diputada Propietario,PRI,16/05/1962, México ,Mayoría Relativa, México Distrito: 23 (Valle de Bravo) ,Licenciatura,Ciencias de la educación,LXII,29/08/2012,31/08/2015
blancajimenezcastillo,Blanca Jiménez  Castillo,Diputada Propietario,PAN,26/09/1965, Puebla ,Mayoría Relativa, Puebla Distrito: 9 (Heroica Puebla de Zaragoza) ,Licenciatura,Humanidades,LXII,29/08/2012,31/08/2015
blancamariavillaseñorgudiño,Blanca María Villaseñor Gudiño,Diputada Propietario,PRI,28/09/1963, Michoacán ,Representación Proporcional, Michoacán Circunscripción: Quinta ,Pasante/Licenciatura trunca,Comunicación,LXII,29/08/2012,31/08/2015
blasramonrubiolara,Blas Ramón Rubio Lara,Diputado Propietario,PRI,13/12/1950, Sinaloa ,Mayoría Relativa, Sinaloa Distrito: 4 (Guasave) ,,,LXII,29/08/2012,31/08/2015
brendamariaizontlialvaradosanchez,Brenda María Izontli Alvarado Sánchez,Diputada Propietario,PRI,16/02/1970, Distrito Federal ,Mayoría Relativa, México Distrito: 11 (Ecatepec de Morelos) ,Maestría,Ciencias políticas y sociales,LXII,29/08/2012,31/08/2015
barbaragabrielaromofonseca,Bárbara Gabriela Romo Fonseca,Diputada Propietario,PVEM,05/11/1977, Zacatecas ,Mayoría Relativa, Zacatecas Distrito: 4 (Guadalupe) ,Licenciatura,Administración y contaduría,LXII,29/08/2012,31/08/2015
carlaaliciapadillaramos,Carla Alicia Padilla Ramos,Diputada Propietario,PVEM,06/05/1969, México ,Representación Proporcional, México Circunscripción: Quinta ,Licenciatura,Derecho,LXII,29/08/2012,31/08/2015
carlaguadalupereyesmontiel,Carla Guadalupe Reyes Montiel,Diputada Propietario,PRD,02/02/1983, México ,Representación Proporcional, México Circunscripción: Quinta ,Licenciatura,Económico-financiera,LXII,29/08/2012,31/08/2015
carlosalbertogarciagonzalez,Carlos Alberto García González,Diputado Propietario,PAN,08/07/1971, Tamaulipas ,Mayoría Relativa, Tamaulipas Distrito: 4 (H. Matamoros) ,Maestría,Administración y contaduría,LXII,29/08/2012,31/08/2015
carlosaugustomoraleslopez,Carlos Augusto Morales López,Diputado Propietario,PRD,05/04/1977, Distrito Federal ,Mayoría Relativa, Distrito Federal Distrito: 4 (Iztapalapa) ,Licenciatura,Económico-financiera,LXII,29/08/2012,31/08/2015
carlosdejesusalejandro,Carlos De Jesús Alejandro,Diputado Propietario,PRD,04/11/1965, ,Mayoría Relativa, Guerrero Distrito: 6 (Chilapa de Álvarez) ,Maestría,Agropecuaria y zootecnia,LXII,29/08/2012,31/08/2015
carlosfernandoanguloparra,Carlos Fernando Angulo Parra,Diputado Propietario,PAN,11/09/1950, Chihuahua ,Mayoría Relativa, Chihuahua Distrito: 3 (Ciudad Juárez) ,Maestría,Derecho,LXII,29/08/2012,31/08/2015
carloshumbertoacevesdelolmo,Carlos Humberto Aceves del Olmo,Diputado Propietario,PRI,05/11/1940, Distrito Federal ,Representación Proporcional, Distrito Federal Circunscripción: Cuarta ,Técnico,,LXII,29/08/2012,31/08/2015
carloshumbertocastañosvalenzuela,Carlos Humberto Castaños Valenzuela,Diputado Propietario,PAN,14/04/1977, Sinaloa ,Representación Proporcional, Sinaloa Circunscripción: Primera ,Licenciatura,Ciencias políticas y sociales,LXII,29/08/2012,31/08/2015
carlossanchezromero,Carlos Sánchez Romero,Diputado Propietario,PRI,05/11/1970, Puebla ,Mayoría Relativa, Puebla Distrito: 5 (San Martín Texmelucan de Labas) ,Licenciatura,Derecho,LXII,29/08/2012,31/08/2015
carmenluciaperezcamarena,Carmen Lucía Pérez Camarena,Diputada Propietario,PAN,08/10/1968, Jalisco ,Representación Proporcional, Jalisco Circunscripción: Primera ,Licenciatura,Ciencias de la educación,LXII,29/08/2012,31/08/2015
carolantonioaltamirano,Carol Antonio Altamirano,Diputado Propietario,PRD,13/12/1963, Oaxaca ,Mayoría Relativa, Oaxaca Distrito: 5 (Santo Domingo Tehuantepec) ,Licenciatura,Derecho,LXII,29/08/2012,31/08/2015
catalinoduarteortuño,Catalino Duarte Ortuño,Diputado Propietario,PRD,23/03/1970, Guerrero ,Mayoría Relativa, Guerrero Distrito: 1 (Ciudad Altamirano) ,Licenciatura,Derecho,LXII,29/08/2012,31/08/2015
ceciliagonzalezgomez,Cecilia González Gómez,Diputada Propietario,PRI,28/05/1961, Jalisco ,Mayoría Relativa, Jalisco Distrito: 3 (Tepatitlán de Morelos) ,Técnico,Otra,LXII,29/08/2012,31/08/2015
celiaisabelgaunaruizdeleon,Celia Isabel Gauna Ruiz de León,Diputada Propietario,PRI,19/11/1964, Jalisco ,Mayoría Relativa, Jalisco Distrito: 12 (Tlajomulco de Zúñiga) ,Maestría,Arquitectura y diseño,LXII,29/08/2012,31/08/2015
cesariopadillanavarro,Cesario Padilla Navarro,Diputado Propietario,PRI,25/04/1951, Jalisco ,Mayoría Relativa, Jalisco Distrito: 1 (Tequila) ,Técnico,,LXII,29/08/2012,31/08/2015
claudiadelgadillogonzalez,Claudia Delgadillo González,Diputada Propietario,PRI,24/07/1972, ,Mayoría Relativa, Jalisco Distrito: 11 (Guadalajara) ,Licenciatura,Derecho,LXII,29/08/2012,31/08/2015
claudiaelenaaguilatorres,Claudia Elena Águila Torres,Diputada Propietario,PRD,29/10/1972, Distrito Federal ,Mayoría Relativa, Distrito Federal Distrito: 7 (Gustavo A. Madero) ,Licenciatura,Ciencias políticas y sociales,LXII,29/08/2012,31/08/2015
claudiaelizabethbojorquezjavier,Claudia Elizabeth Bojórquez Javier,Diputada Propietario,PRD,19/10/1970, Tabasco ,Mayoría Relativa, Tabasco Distrito: 1 (Macuspana) ,Maestría,Administración y contaduría,LXII,29/08/2012,31/08/2015
consueloargüellesloya,Consuelo Argüelles  Loya,Diputada Propietario,PAN,19/01/1977, Distrito Federal ,Representación Proporcional, Nuevo León Circunscripción: Segunda ,Licenciatura,Derecho,LXII,29/08/2012,31/08/2015
cristinagonzalezcruz,Cristina González Cruz,Diputada Propietario,PRI,25/07/1973, Distrito Federal ,Mayoría Relativa, México Distrito: 39 (Los Reyes Acaquilpan) ,Licenciatura,Derecho,LXII,29/08/2012,31/08/2015
cristinaolverabarrios,Cristina Olvera Barrios,Diputada Propietario,Panal,24/07/1953, Sonora ,Representación Proporcional, Distrito Federal Circunscripción: Cuarta ,Técnico,Otra,LXII,29/08/2012,31/08/2015
cristinaruizsandoval,Cristina Ruíz Sandoval,Diputada Propietario,PRI,23/10/1972, México ,Mayoría Relativa, México Distrito: 21 (Naucalpan de Juárez) ,Licenciatura,Derecho,LXII,29/08/2012,31/08/2015
crystaltovararagon,Crystal Tovar Aragón,Diputada Propietario,PRD,23/01/1990, Chihuahua ,Representación Proporcional, Chihuahua Circunscripción: Primera ,Pasante/Licenciatura trunca,Ciencias políticas y sociales,LXII,29/08/2012,31/08/2015
dariobadilloramirez,Darío Badillo Ramírez,Diputado Propietario,PRI,10/12/1959, Hidalgo ,Mayoría Relativa, Hidalgo Distrito: 1 (Huejutla de Reyes) ,Preparatoria,,LXII,29/08/2012,31/08/2015
davidcuauhtemocgalindodelgado,David Cuauhtémoc Galindo Delgado,Diputado Propietario,PAN,07/12/1975, Sonora ,Mayoría Relativa, Sonora Distrito: 2 (Nogales) ,Licenciatura,Comunicación,LXII,29/08/2012,31/08/2015
davidpereztejadapadilla,David Pérez Tejada Padilla,Diputado Propietario,PVEM,19/11/1979, Baja California ,Mayoría Relativa, Baja California Distrito: 7 (Mexicali) ,Licenciatura,Ciencias políticas y sociales,LXII,29/08/2012,31/08/2015
delfinaelizabethguzmandiaz,Delfina Elizabeth Guzmán Díaz,Diputada Propietario,PRD,13/11/1960, Oaxaca ,Mayoría Relativa, Oaxaca Distrito: 11 (Santiago Pinotepa Nacional) ,Licenciatura,Ciencias de la educación,LXII,29/08/2012,31/08/2015
delvimfabiolabarcenasnieves,Delvim Fabiola Barcenas Nieves,Diputada Propietario,PRI,16/01/1977, Querétaro ,Mayoría Relativa, Querétaro Distrito: 1 (Cadereyta de Montes) ,Licenciatura,Derecho,LXII,29/08/2012,31/08/2015
dianakarinavelazquezramirez,Diana Karina Velázquez Ramírez,Diputada Propietario,PRI,13/06/1970, Chihuahua ,Mayoría Relativa, Chihuahua Distrito: 9 (Hidalgo del Parral) ,Técnico,Ciencias de la salud,LXII,29/08/2012,31/08/2015
domitiloposadashernandez,Domitilo Posadas Hernández,Diputado Propietario,PRD,12/05/1958, México ,Representación Proporcional, México Circunscripción: Quinta ,Maestría,Otra,LXII,29/08/2012,31/08/2015
doramariaguadalupetalamantelemas,Dora María Guadalupe Talamante Lemas,Diputada Propietario,Panal,07/01/1965, Sonora ,Representación Proporcional, Sonora Circunscripción: Primera ,Doctorado,Ciencias de la educación,LXII,29/08/2012,31/08/2015
dulcemariamuñizmartinez,Dulce María Muñiz Martínez,Diputada Propietario,PRI,30/01/1960, Hidalgo ,Mayoría Relativa, Hidalgo Distrito: 2 (Ixmiquilpan) ,Licenciatura,Ciencias de la educación,LXII,29/08/2012,31/08/2015
edilbertoalgredojaramillo,Edilberto Algredo Jaramillo,Diputado Propietario,PRD,13/02/1957, Tlaxcala ,Mayoría Relativa, Tlaxcala Distrito: 3 (Zacatelco) ,Profesor Normalista,Ciencias de la educación,LXII,29/08/2012,31/08/2015
eligiocuitlahuacgonzalezfarias,Eligio Cuitláhuac González Farías,Diputado Propietario,PRI,22/07/1977, Michoacán ,Mayoría Relativa, Michoacán Distrito: 8 (Morelia) ,Licenciatura,Humanidades,LXII,29/08/2012,31/08/2015
elizabethosweliayañezrobles,Elizabeth Oswelia Yáñez Robles,Diputada Propietario,PAN,29/09/1945, Coahuila ,Representación Proporcional, Guanajuato Circunscripción: Segunda ,Maestría,Ciencias políticas y sociales,LXII,29/08/2012,31/08/2015
elizabethvargasmartindelcampo,Elizabeth Vargas Martín del Campo,Diputada Propietario,PAN,21/05/1957, Guanajuato ,Mayoría Relativa, Guanajuato Distrito: 3 (León) ,Licenciatura,Administración y contaduría,LXII,29/08/2012,31/08/2015
eloycantusegovia,Eloy Cantú Segovia,Diputado Propietario,PRI,24/09/1952, Nuevo León ,Representación Proporcional, Nuevo León Circunscripción: Segunda ,Doctorado,Derecho,LXII,29/08/2012,31/08/2015
elsapatriciaaraujodelatorre,Elsa Patricia Araujo de la Torre,Diputada Propietario,PRI,30/01/1960, Tamaulipas ,Representación Proporcional, Tamaulipas Circunscripción: Segunda ,Maestría,Administración y contaduría,LXII,29/08/2012,31/08/2015
elviamariaperezescalante,Elvia María Pérez Escalante,Diputada Propietario,PRI,30/01/1954, Campeche ,Representación Proporcional, Campeche Circunscripción: Tercera ,Pasante/Licenciatura trunca,Arquitectura y diseño,LXII,29/08/2012,31/08/2015
emilsemirandamunive,Emilse Miranda Munive,Diputada Propietario,PRI,14/06/1971, Hidalgo ,Mayoría Relativa, Hidalgo Distrito: 4 (Tulancingo de Bravo) ,Licenciatura,Administración y contaduría,LXII,29/08/2012,31/08/2015
enriquealejandrofloresflores,Enrique Alejandro Flores Flores,Diputado Propietario,PAN,18/11/1982, San Luis Potosí ,Representación Proporcional, San Luis Potosí Circunscripción: Segunda ,Licenciatura,Derecho,LXII,29/08/2012,31/08/2015
enriqueaubrydecastropalomino,Enrique Aubry De Castro Palomino,Diputado Propietario,PVEM,19/06/1982, Distrito Federal ,Mayoría Relativa, Jalisco Distrito: 14 (Guadalajara) ,,,LXII,29/08/2012,31/08/2015
enriquecardenasdelavellano,Enrique Cárdenas Del Avellano,Diputado Propietario,PRI,04/09/1957, Tamaulipas ,Mayoría Relativa, Tamaulipas Distrito: 5 (Ciudad Victoria) ,Licenciatura,Agropecuaria y zootecnia,LXII,29/08/2012,31/08/2015
erickmarteriveravillanueva,Erick Marte Rivera Villanueva,Diputado Propietario,PAN,14/01/1970, Hidalgo ,Representación Proporcional, Hidalgo Circunscripción: Quinta ,Licenciatura,Administración y contaduría,LXII,29/08/2012,31/08/2015
ernestonuñezaguilar,Ernesto Núñez Aguilar,Diputado Propietario,PVEM,28/02/1979, Michoacán ,Mayoría Relativa, Michoacán Distrito: 10 (Morelia) ,Maestría,Ciencias políticas y sociales,LXII,29/08/2012,31/08/2015
estherangelicamartinezcardenas,Esther Angélica Martínez Cárdenas,Diputada Propietario,PRI,07/12/1970, San Luis Potosí ,Mayoría Relativa, San Luis Potosí Distrito: 2 (Soledad de Graciano Sánchez) ,Licenciatura,Derecho,LXII,29/08/2012,31/08/2015
estherquintanasalinas,Esther Quintana Salinas,Diputada Propietario,PAN,01/07/1951, Guerrero ,Mayoría Relativa, Coahuila Distrito: 7 (Saltillo) ,Licenciatura,Derecho,LXII,29/08/2012,31/08/2015
eufrosinacruzmendoza,Eufrosina Cruz Mendoza,Diputada Propietario,PAN,01/01/1979, Oaxaca ,Representación Proporcional, Oaxaca Circunscripción: Tercera ,Licenciatura,Administración y contaduría,LXII,29/08/2012,31/08/2015
evadiegocruz,Eva Diego Cruz,Diputada Propietario,PRD,02/05/1975, Veracruz ,Mayoría Relativa, Oaxaca Distrito: 4 (Tlacolula de Matamoros) ,Pasante/Licenciatura trunca,Derecho,LXII,29/08/2012,31/08/2015
federicojosegonzalezlunabueno,Federico José González Luna Bueno,Diputado Propietario,PVEM,03/06/1966, México ,Representación Proporcional, Veracruz Circunscripción: Tercera ,Licenciatura,Derecho,LXII,29/08/2012,31/08/2015
felipearturocamarenagarcia,Felipe Arturo Camarena García,Diputado Propietario,PVEM,05/02/1956, Guanajuato ,Mayoría Relativa, Guanajuato Distrito: 12 (Celaya) ,Maestría,Derecho,LXII,29/08/2012,31/08/2015
felipedejesusalmaguertorres,Felipe de Jesús Almaguer Torres,Diputado Propietario,PAN,21/02/1974, San Luis Potosí ,Mayoría Relativa, San Luis Potosí Distrito: 6 (San Luis Potosí) ,Licenciatura,Derecho,LXII,29/08/2012,31/08/2015
felipedejesusmuñozkapamas,Felipe de Jesús Muñoz Kapamas,Diputado Propietario,PRI,03/02/1951, Distrito Federal ,Representación Proporcional, Distrito Federal Circunscripción: Cuarta ,Licenciatura,Comunicación,LXII,29/08/2012,31/08/2015
fernandoalejandrolarrazabalbreton,Fernando Alejandro Larrazábal Bretón,Diputado Propietario,PAN,11/08/1962, Oaxaca ,Mayoría Relativa, Nuevo León Distrito: 10 (Monterrey) ,Licenciatura,Ingeniería,LXII,29/08/2012,31/08/2015
fernandobelaunzaranmendez,Fernando Belaunzarán Méndez,Diputado Propietario,PRD,03/01/1970, Distrito Federal ,Representación Proporcional, Distrito Federal Circunscripción: Cuarta ,Licenciatura,Humanidades,LXII,29/08/2012,31/08/2015
fernandobribiescasahagun,Fernando Bribiesca Sahagún,Diputado Propietario,Panal,16/08/1981, Michoacán ,Representación Proporcional, Guanajuato Circunscripción: Segunda ,Maestría,Ciencias políticas y sociales,LXII,29/08/2012,31/08/2015
fernandocharlestonhernandez,Fernando Charleston Hernández,Diputado Propietario,PRI,13/10/1976, Veracruz ,Mayoría Relativa, Veracruz Distrito: 9 (Coatepec) ,Maestría,Ciencias políticas y sociales,LXII,29/08/2012,31/08/2015
fernandocuellarreyes,Fernando Cuéllar Reyes,Diputado Propietario,PRD,22/09/1963, Distrito Federal ,Mayoría Relativa, Distrito Federal Distrito: 3 (Azcapotzalco) ,Maestría,Ciencias de la educación,LXII,29/08/2012,31/08/2015
fernandodonatodelasfuenteshernandez,Fernando Donato De las Fuentes Hernández,Diputado Propietario,PRI,07/08/1960, Coahuila ,Mayoría Relativa, Coahuila Distrito: 4 (Saltillo) ,Licenciatura,Derecho,LXII,29/08/2012,31/08/2015
fernandorodriguezdoval,Fernando Rodríguez Doval,Diputado Propietario,PAN,29/04/1980, Distrito Federal ,Representación Proporcional, Distrito Federal Circunscripción: Cuarta ,Maestría,Ciencias políticas y sociales,LXII,29/08/2012,31/08/2015
fernandosalgadodelgado,Fernando Salgado Delgado,Diputado Propietario,PRI,26/11/1966, Distrito Federal ,Representación Proporcional, México Circunscripción: Quinta ,Licenciatura,Derecho,LXII,29/08/2012,31/08/2015
