,curp,inic_edo,nom_edo,Nombre,UltimoGradoEstudios,TipoLegislacion,tipoEleccion,FechaNacimiento,estado,entidad,Reeleccion,Partido,PreparacionAcademica,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
12,agustinreynaldohuertagonzalez,arhg_puebla,agustinreynaldohuertagonzalez_puebla,Agustin Reynaldo Huerta Gonzalez,Licenciatura,Diputado Propietario,Representacion proporcional,1962-05-07,Puebla,Circunscripcion:4,SI,MORENA,Ingeniería,,,,
13,alanjesusfalomirsaenz,ajfs_chihuahua,alanjesusfalomirsaenz_chihuahua,Alan Jesus Falomir Saenz,Pasante/Licenciatura trunca,Diputado Propietario,Mayoria Relativa,1981-02-23,Chihuahua,Distrito:8,SI,MC,Ingeniería,,,,
14,albertoesquergutierrez,aeg_jalisco,albertoesquergutierrez_jalisco,Alberto Esquer Gutierrez,Maestría,Diputado Propietario,Mayoria Relativa,1978-11-07,Jalisco,Distrito:19,NO,MC,,,,,
15,albertovillavillegas,avv_jalisco,albertovillavillegas_jalisco,Alberto Villa Villegas,Licenciatura,Diputado Propietario,Representacion proporcional,1972-10-25,Jalisco,Circunscripcion:1,SI,MORENA,Administración y contaduría,,,,
16,aleidaalavezruiz,aar_ciudad de mexico,aleidaalavezruiz_ciudad de mexico,Aleida Alavez Ruiz,Licenciatura,Diputada Propietario,Mayoria Relativa,1974-01-10,Ciudad de Mexico,Distrito:19,SI,MORENA,Comunicación,,,,
17,alejandrapanibarragan,apb_morelos,alejandrapanibarragan_morelos,Alejandra Pani Barragan,Licenciatura,Diputada Propietario,Mayoria Relativa,1964-07-17,Morelos,Distrito:2,SI,MORENA,Administración y contaduría,,,,
18,alejandrobarrosochavez,abc_puebla,alejandrobarrosochavez_puebla,Alejandro Barroso Chavez,Preparatoria,Diputado Propietario,Mayoria Relativa,1981-01-04,Puebla,Distrito:15,SI,PT,,,,,
19,alejandrocarvajalhidalgo,ach_puebla,alejandrocarvajalhidalgo_puebla,Alejandro Carvajal Hidalgo,Licenciatura,Diputado Propietario,Mayoria Relativa,1980-08-02,Puebla,Distrito:6,SI,MORENA,Derecho,,,,
20,alejandromojicatoledo,amt_morelos,alejandromojicatoledo_morelos,Alejandro Mojica Toledo,Pasante/Licenciatura trunca,Diputado Propietario,Mayoria Relativa,1955-01-12,Morelos,Distrito:1,NO,MORENA,Administración y contaduría,,,,
21,alejandroponcecobos,apc_oaxaca,alejandroponcecobos_oaxaca,Alejandro Ponce Cobos,No disponible,Diputado Propietario,Representacion proporcional,1972-04-17,Oaxaca,Circunscripcion:3,SI,MORENA,,,,,
22,alejandroviedmavelazquez,avv_mexico,alejandroviedmavelazquez_mexico,Alejandro Viedma Velazquez,Licenciatura,Diputado Propietario,Representacion proporcional,1991-11-11,Mexico,Circunscripcion:5,SI,MORENA,Ciencias políticas y sociales,,,,
23,alfonsoramirezcuellar,arc_ciudad de mexico,alfonsoramirezcuellar_ciudad de mexico,Alfonso Ramirez Cuellar,Pasante/Licenciatura trunca,Diputado Propietario,Mayoria Relativa,1959-06-14,Ciudad de Mexico,Distrito:14,SI,MORENA,Derecho,,,,
24,alfredofematbañuelos,afb_zacatecas,alfredofematbanuelos_zacatecas,Alfredo Femat Bañuelos,Maestría,Diputado Propietario,Mayoria Relativa,1961-01-12,Zacatecas,Distrito:3,SI,PT,Económico-financiera,,,,
25,alfredoporrasdominguez,apd_baja california sur,alfredoporrasdominguez_baja california sur,Alfredo Porras Dominguez,Licenciatura,Diputado Propietario,Mayoria Relativa,1957-02-21,Baja California Sur,Distrito:2,SI,PT,Ciencias políticas y sociales,,,,
26,alfredovazquezvazquez,avv_chiapas,alfredovazquezvazquez_chiapas,Alfredo Vazquez Vazquez,Licenciatura,Diputado Propietario,Mayoria Relativa,1981-01-27,Chiapas,Distrito:3,SI,MORENA,,,,,
27,alfredovillegasarreola,ava_sinaloa,alfredovillegasarreola_sinaloa,Alfredo Villegas Arreola,Licenciatura,Diputado Propietario,Representacion proporcional,1951-01-12,Sinaloa,Circunscripcion:1,SI,PRI,Ingeniería,,,,
28,almadelianavarreterivera,adnr_mexico,almadelianavarreterivera_mexico,Alma Delia Navarrete Rivera,Pasante/Licenciatura trunca,Diputada Propietario,Mayoria Relativa,1972-07-29,Mexico,Distrito:10,SI,MORENA,Ciencias políticas y sociales,,,,
29,almamarinavitelarodriguez,amvr_durango,almamarinavitelarodriguez_durango,Alma Marina Vitela Rodriguez,Licenciatura,Diputada Propietario,Mayoria Relativa,1965-12-26,Durango,Distrito:2,NO,MORENA,,,,,
30,anagabrielaguevaraespinoza,agge_sonora,anagabrielaguevaraespinoza_sonora,Ana Gabriela Guevara Espinoza,Preparatoria,Diputada Propietario,Mayoria Relativa,1977-03-04,Sonora,Distrito:2,NO,PT,,,,,
31,anakarinarojopimentel,akrp_ciudad de mexico,anakarinarojopimentel_ciudad de mexico,Ana Karina Rojo Pimentel,Pasante/Licenciatura trunca,Diputada Propietario,Mayoria Relativa,1976-11-28,Ciudad de Mexico,Distrito:20,SI,PT,,,,,
32,analiliaguillenquiroz,algq_michoacan,analiliaguillenquiroz_michoacan,Ana Lilia Guillen Quiroz,No disponible,Diputada Propietario,Mayoria Relativa,1955-02-05,Michoacan,Distrito:8,SI,MORENA,,,,,
33,analiliaherreraanzaldo,alha_mexico,analiliaherreraanzaldo_mexico,Ana Lilia Herrera Anzaldo,Maestría,Diputada Propietario,Representacion proporcional,1971-08-29,Mexico,Circunscripcion:5,SI,PRI,Otra,,,,
34,analuciariojasmartinez,alrm_ciudad de mexico,analuciariojasmartinez_ciudad de mexico,Ana Lucia Riojas Martinez,Licenciatura,Diputada Propietario,Representacion proporcional,1988-02-25,Ciudad de Mexico,Circunscripcion:4,SI,SinPartido,Comunicación,,,,
35,anamariarodriguezruiz,amrr_ciudad de mexico,anamariarodriguezruiz_ciudad de mexico,Ana Maria Rodriguez Ruiz,Preparatoria,Diputada Propietario,Mayoria Relativa,1962-07-23,Ciudad de Mexico,Distrito:18,SI,MORENA,,,,,
36,anapaolalopezbirlain,aplb_queretaro,anapaolalopezbirlain_queretaro,Ana Paola Lopez Birlain,Maestría,Diputada Propietario,Mayoria Relativa,1981-09-21,Queretaro,Distrito:5,SI,PAN,Ciencias políticas y sociales,,,,
37,anapatriciaperaltadelapeña,appdlp_quintana roo,anapatriciaperaltadelapena_quintana roo,Ana Patricia Peralta De La Peña,Licenciatura,Diputada Propietario,Representacion proporcional,1990-06-24,Quintana Roo,Circunscripcion:3,NO,MORENA,Administración y contaduría,,,,
38,anapriscilagonzalezgarcia,apgg_jalisco,anapriscilagonzalezgarcia_jalisco,Ana Priscila Gonzalez Garcia,Licenciatura,Diputada Propietario,Mayoria Relativa,1984-05-13,Jalisco,Distrito:20,SI,MC,,,,,
39,anaruthgarciagrande,argg_baja california sur,anaruthgarciagrande_baja california sur,Ana Ruth Garcia Grande,Maestría,Diputada Propietario,Mayoria Relativa,1971-05-30,Baja California Sur,Distrito:1,SI,PT,Derecho,,,,
40,aniluingramvallines,aiv_veracruz,aniluingramvallines_veracruz,Anilu Ingram Vallines,Maestría,Diputada Propietario,Representacion proporcional,1980-08-26,Veracruz,Circunscripcion:3,SI,PRI,,,,,
41,anitasanchezcastro,asc_michoacan,anitasanchezcastro_michoacan,Anita Sanchez Castro,Licenciatura,Diputada Propietario,Mayoria Relativa,1968-01-07,Michoacan,Distrito:6,SI,MORENA,Ciencias de la salud,,,,
42,anniasarahigomezcardenas,asgc_nuevo leon,anniasarahigomezcardenas_nuevo leon,Annia Sarahi Gomez Cardenas,Licenciatura,Diputada Propietario,Mayoria Relativa,1983-07-06,Nuevo Leon,Distrito:6,SI,PAN,Ciencias políticas y sociales,,,,
43,antonianatividaddiazjimenez,andj_oaxaca,antonianatividaddiazjimenez_oaxaca,Antonia Natividad Diaz Jimenez,Licenciatura,Diputada Propietario,Representacion proporcional,1982-06-13,Oaxaca,Circunscripcion:3,NO,PAN,Administración y contaduría,,,,
44,antonioortegamartinez,aom_aguascalientes,antonioortegamartinez_aguascalientes,Antonio Ortega Martinez,Licenciatura,Diputado Propietario,Representacion proporcional,1954-07-28,Aguascalientes,Circunscripcion:2,NO,PRD,Ingeniería,,,,
45,araceliocampomanzanares,aom_guerrero,araceliocampomanzanares_guerrero,Araceli Ocampo Manzanares,Licenciatura,Diputada Propietario,Mayoria Relativa,1972-10-15,Guerrero,Distrito:2,SI,MORENA,Derecho,,,,
46,arielrodriguezvazquez,arv_guanajuato,arielrodriguezvazquez_guanajuato,Ariel Rodriguez Vazquez,Doctorado,Diputado Propietario,Mayoria Relativa,1972-11-01,Guanajuato,Distrito:1,SI,MC,Psicología,,,,
47,armandocontrerascastillo,acc_oaxaca,armandocontrerascastillo_oaxaca,Armando Contreras Castillo,Licenciatura,Diputado Propietario,Representacion proporcional,1966-04-13,Oaxaca,Circunscripcion:3,SI,MORENA,Económico-financiera,,,,
48,armandogonzalezescoto,age_ciudad de mexico,armandogonzalezescoto_ciudad de mexico,Armando Gonzalez Escoto,Licenciatura,Diputado Propietario,Mayoria Relativa,1967-08-27,Ciudad de Mexico,Distrito:2,SI,PES,Ingeniería,,,,
49,armandojavierzertuchezuani,ajzz_tamaulipas,armandojavierzertuchezuani_tamaulipas,Armando Javier Zertuche Zuani,Doctorado,Diputado Propietario,Mayoria Relativa,1957-11-27,Tamaulipas,Distrito:9,SI,PT,,,,,
50,armandoreyesledesma,arl_baja california,armandoreyesledesma_baja california,Armando Reyes Ledesma,Preparatoria,Diputado Propietario,Mayoria Relativa,1972-04-10,Baja California,Distrito:3,SI,PT,,,,,
51,armandotejedacid,atc_michoacan,armandotejedacid_michoacan,Armando Tejeda Cid,Maestría,Diputado Propietario,Mayoria Relativa,1984-09-21,Michoacan,Distrito:4,SI,PAN,Ciencias políticas y sociales,,,,
52,arturoescobaryvega,aeyv_ciudad de mexico,arturoescobaryvega_ciudad de mexico,Arturo Escobar y Vega,Maestría,Diputado Propietario,Representacion proporcional,1970-04-23,Ciudad de Mexico,Circunscripcion:4,SI,PVEM,Derecho,,,,
53,arturorobertohernandeztapia,arht_mexico,arturorobertohernandeztapia_mexico,Arturo Roberto Hernandez Tapia,Maestría,Diputado Propietario,Mayoria Relativa,1961-05-05,Mexico,Distrito:35,SI,MORENA,Ciencias de la salud,,,,
54,azaelsantiagochepi,asc_oaxaca,azaelsantiagochepi_oaxaca,Azael Santiago Chepi,Maestría,Diputado Propietario,Mayoria Relativa,1977-12-15,Oaxaca,Distrito:4,SI,MORENA,Ciencias de la educación,,,,
55,beatrizdomingaperezlopez,bdpl_oaxaca,beatrizdomingaperezlopez_oaxaca,Beatriz Dominga Perez Lopez,Licenciatura,Diputada Propietario,Mayoria Relativa,1975-08-24,Oaxaca,Distrito:6,SI,MORENA,Derecho,,,,
56,beatrizmanriqueguevara,bmg_guanajuato,beatrizmanriqueguevara_guanajuato,Beatriz Manrique Guevara,Maestría,Diputada Propietario,Representacion proporcional,1967-05-20,Guanajuato,Circunscripcion:2,NO,PVEM,,,,,
57,beatrizrojasmartinez,brm_ciudad de mexico,beatrizrojasmartinez_ciudad de mexico,Beatriz Rojas Martinez,Licenciatura,Diputada Propietario,Mayoria Relativa,1966-12-21,Ciudad de Mexico,Distrito:7,SI,MORENA,Derecho,,,,
58,beatrizsilviaroblesgutierrez,bsrg_queretaro,beatrizsilviaroblesgutierrez_queretaro,Beatriz Silvia Robles Gutierrez,Maestría,Diputada Propietario,Mayoria Relativa,1965-03-24,Queretaro,Distrito:3,SI,MORENA,Administración y contaduría,,,,
59,benitomedinaherrera,bmh_baja california,benitomedinaherrera_baja california,Benito Medina Herrera,Maestría,Diputado Propietario,Representacion proporcional,1950-06-05,Baja California,Circunscripcion:1,SI,PRI,Otra,,,,
60,benjaminroblesmontoya,brm_oaxaca,benjaminroblesmontoya_oaxaca,Benjamin Robles Montoya,Maestría,Diputado Propietario,Mayoria Relativa,1959-11-08,Oaxaca,Distrito:8,SI,PT,Ciencias políticas y sociales,,,,
61,benjaminsaulhuertacorona,bshc_puebla,benjaminsaulhuertacorona_puebla,Benjamin Saul Huerta Corona,Licenciatura,Diputado Propietario,Mayoria Relativa,1958-03-31,Puebla,Distrito:11,SI,MORENA,Derecho,,,,
62,bonifacioaguilarlinda,bal_veracruz,bonifacioaguilarlinda_veracruz,Bonifacio Aguilar Linda,Secundaria,Diputado Propietario,Mayoria Relativa,1976-05-08,Veracruz,Distrito:18,SI,MORENA,,,,,
63,brasilalbertoacostapeña,baap_mexico,brasilalbertoacostapena_mexico,Brasil Alberto Acosta Peña,Doctorado,Diputado Propietario,Representacion proporcional,1970-06-21,Mexico,Circunscripcion:5,SI,PRI,Económico-financiera,,,,
64,brendaespinozalopez,bel_morelos,brendaespinozalopez_morelos,Brenda Espinoza Lopez,Licenciatura,Diputada Propietario,Representacion proporcional,1988-06-19,Morelos,Circunscripcion:4,SI,MORENA,Económico-financiera,,,,
65,carlosalbertomoralesvazquez,camv_chiapas,carlosalbertomoralesvazquez_chiapas,Carlos Alberto Morales Vazquez,Licenciatura,Diputado Propietario,Representacion proporcional,1972-08-22,Chiapas,Circunscripcion:3,SI,SinPartido,Arquitectura y diseño,,,,
66,carlosalbertopuentesalas,caps_zacatecas,carlosalbertopuentesalas_zacatecas,Carlos Alberto Puente Salas,Licenciatura,Diputado Propietario,Representacion proporcional,1971-12-16,Zacatecas,Circunscripcion:2,SI,PVEM,Derecho,,,,
67,carlosalbertovalenzuelagonzalez,cavg_veracruz,carlosalbertovalenzuelagonzalez_veracruz,Carlos Alberto Valenzuela Gonzalez,Maestría,Diputado Propietario,Representacion proporcional,1983-04-18,Veracruz,Circunscripcion:3,SI,PAN,Ciencias políticas y sociales,,,,
68,carloscarreonmejia,ccm_tlaxcala,carloscarreonmejia_tlaxcala,Carlos Carreon Mejia,Licenciatura,Diputado Propietario,Representacion proporcional,1973-05-27,Tlaxcala,Circunscripcion:4,SI,PAN,Otra,,,,
69,carlosenriquemartinezake,cema_campeche,carlosenriquemartinezake_campeche,Carlos Enrique Martinez Ake,Pasante/Licenciatura trunca,Diputado Propietario,Mayoria Relativa,1977-04-25,Campeche,Distrito:1,SI,MORENA,Derecho,,,,
70,carloshumbertocastañosvalenzuela,chcv_sinaloa,carloshumbertocastanosvalenzuela_sinaloa,Carlos Humberto Castaños Valenzuela,Licenciatura,Diputado Propietario,Representacion proporcional,1977-04-14,Sinaloa,Circunscripcion:1,SI,PAN,Ciencias políticas y sociales,,,,
71,carlosjavierlamarquecano,cjlc_sonora,carlosjavierlamarquecano_sonora,Carlos Javier Lamarque Cano,Licenciatura,Diputado Propietario,Mayoria Relativa,1953-08-01,Sonora,Distrito:6,SI,MORENA,,,,,
72,carlospavoncampos,cpc_zacatecas,carlospavoncampos_zacatecas,Carlos Pavon Campos,Secundaria,Diputado Propietario,Representacion proporcional,1955-10-31,Zacatecas,Circunscripcion:2,SI,PRI,,,,,
73,carlossanchezbarrios,csb_guerrero,carlossanchezbarrios_guerrero,Carlos Sanchez Barrios,Maestría,Diputado Propietario,Mayoria Relativa,1957-08-17,Guerrero,Distrito:7,SI,MORENA,Ciencias políticas y sociales,,,,
74,carlostorrespiña,ctp_michoacan,carlostorrespina_michoacan,Carlos Torres Piña,Licenciatura,Diputado Propietario,Representacion proporcional,1979-03-01,Michoacan,Circunscripcion:5,SI,MORENA,Derecho,,,,
75,carmenjuliaprudenciogonzalez,cjpg_jalisco,carmenjuliaprudenciogonzalez_jalisco,Carmen Julia Prudencio Gonzalez,Licenciatura,Diputada Propietario,Mayoria Relativa,1977-06-30,Jalisco,Distrito:9,SI,MC,Derecho,,,,
76,carmenmedelpalma,cmp_veracruz,carmenmedelpalma_veracruz,Carmen Medel Palma,Maestría,Diputada Propietario,Mayoria Relativa,1959-09-26,Veracruz,Distrito:14,SI,MORENA,Ciencias de la salud,,,,
77,carmenmoragarcia,cmg_veracruz,carmenmoragarcia_veracruz,Carmen Mora Garcia,Secundaria,Diputada Propietario,Mayoria Relativa,1952-07-14,Veracruz,Distrito:9,SI,MORENA,,,,,
78,carmenpatriciapalmaolvera,cppo_quintana roo,carmenpatriciapalmaolvera_quintana roo,Carmen Patricia Palma Olvera,No disponible,Diputada Propietario,Mayoria Relativa,1958-01-13,Quintana Roo,Distrito:2,SI,MORENA,,,,,
79,carminayadiraregaladomardueño,cyrm_nayarit,carminayadiraregaladomardueno_nayarit,Carmina Yadira Regalado Mardueño,Licenciatura,Diputada Propietario,Representacion proporcional,1967-11-06,Nayarit,Circunscripcion:1,SI,MORENA,,,,,
80,carolantonioaltamirano,caa_oaxaca,carolantonioaltamirano_oaxaca,Carol Antonio Altamirano,Licenciatura,Diputado Propietario,Mayoria Relativa,1963-12-13,Oaxaca,Distrito:5,SI,MORENA,Derecho,,,,
81,carolinagarciaaguilar,cga_mexico,carolinagarciaaguilar_mexico,Carolina Garcia Aguilar,No disponible,Diputada Propietario,Mayoria Relativa,1976-09-22,Mexico,Distrito:6,SI,PES,,,,,
82,casimirozamoravaldez,czv_sinaloa,casimirozamoravaldez_sinaloa,Casimiro Zamora Valdez,Licenciatura,Diputado Propietario,Mayoria Relativa,1958-11-15,Sinaloa,Distrito:4,SI,MORENA,,,,,
83,ceciliaanunciacionpatronlaviada,capl_yucatan,ceciliaanunciacionpatronlaviada_yucatan,Cecilia Anunciacion Patron Laviada,Licenciatura,Diputada Propietario,Representacion proporcional,1971-03-25,Yucatan,Circunscripcion:3,SI,PAN,Comunicación,,,,
84,cesaragustinhernandezperez,cahp_mexico,cesaragustinhernandezperez_mexico,Cesar Agustin Hernandez Perez,Maestría,Diputado Propietario,Mayoria Relativa,1980-03-01,Mexico,Distrito:30,SI,MORENA,Ciencias políticas y sociales,,,,
85,ciprianocharrezpedraza,ccp_hidalgo,ciprianocharrezpedraza_hidalgo,Cipriano Charrez Pedraza,Maestría,Diputado Propietario,Mayoria Relativa,1970-09-16,Hidalgo,Distrito:2,NO,MORENA,,,,,
86,cirosalesruiz,csr_chiapas,cirosalesruiz_chiapas,Ciro Sales Ruiz,Licenciatura,Diputado Propietario,Representacion proporcional,1974-01-01,Chiapas,Circunscripcion:3,NO,MORENA,,,,,
87,claudiaangelicadominguezvazquez,cadv_mexico,claudiaangelicadominguezvazquez_mexico,Claudia Angelica Dominguez Vazquez,Licenciatura,Diputada Propietario,Mayoria Relativa,1977-09-13,Mexico,Distrito:14,SI,PT,Derecho,,,,
88,claudiabaezruiz,cbr_puebla,claudiabaezruiz_puebla,Claudia Baez Ruiz,Licenciatura,Diputada Propietario,Mayoria Relativa,1972-10-20,Puebla,Distrito:3,SI,PES,Comunicación,,,,
89,claudiaelenalastramuñoz,celm_chihuahua,claudiaelenalastramunoz_chihuahua,Claudia Elena Lastra Muñoz,Licenciatura,Diputada Propietario,Mayoria Relativa,1971-01-13,Chihuahua,Distrito:3,SI,PT,,,,,
90,claudialopezrayon,clr_ciudad de mexico,claudialopezrayon_ciudad de mexico,Claudia Lopez Rayon,Técnico,Diputada Propietario,Mayoria Relativa,1973-04-22,Ciudad de Mexico,Distrito:5,SI,MORENA,Otra,,,,
91,claudiapastorbadilla,cpb_ciudad de mexico,claudiapastorbadilla_ciudad de mexico,Claudia Pastor Badilla,Maestría,Diputada Propietario,Representacion proporcional,1970-12-01,Ciudad de Mexico,Circunscripcion:4,SI,PRI,Ciencias políticas y sociales,,,,
92,claudiareyesmontiel,crm_mexico,claudiareyesmontiel_mexico,Claudia Reyes Montiel,Maestría,Diputada Propietario,Mayoria Relativa,1974-02-07,Mexico,Distrito:18,SI,PRD,Ciencias políticas y sociales,,,,
93,claudiatelloespinosa,cte_veracruz,claudiatelloespinosa_veracruz,Claudia Tello Espinosa,Doctorado,Diputada Propietario,Mayoria Relativa,1964-10-16,Veracruz,Distrito:8,SI,MORENA,,,,,
94,claudiavaleriayañezcentenoycabrera,cvycyc_colima,claudiavaleriayanezcentenoycabrera_colima,Claudia Valeria Yañez Centeno y Cabrera,Licenciatura,Diputada Propietario,Mayoria Relativa,1959-05-02,Colima,Distrito:1,SI,MORENA,,,,,
95,clementinamartadekkergomez,cmdg_chiapas,clementinamartadekkergomez_chiapas,Clementina Marta Dekker Gomez,Licenciatura,Diputada Propietario,Mayoria Relativa,1973-04-10,Chiapas,Distrito:5,SI,PT,Ciencias políticas y sociales,,,,
96,cruzjuvenalroasanchez,cjrs_mexico,cruzjuvenalroasanchez_mexico,Cruz Juvenal Roa Sanchez,Doctorado,Diputado Propietario,Mayoria Relativa,1968-05-10,Mexico,Distrito:36,SI,PRI,Derecho,,,,
97,cuauhtlifernandobadillomoreno,cfbm_san luis potosi,cuauhtlifernandobadillomoreno_san luis potosi,Cuauhtli Fernando Badillo Moreno,Licenciatura,Diputada Propietario,Representacion proporcional,1990-05-11,San Luis Potosi,Circunscripcion:2,SI,MORENA,,,,,
98,cynthiailianalopezcastro,cilc_ciudad de mexico,cynthiailianalopezcastro_ciudad de mexico,Cynthia Iliana Lopez Castro,Maestría,Diputada Propietario,Representacion proporcional,1987-02-18,Ciudad de Mexico,Circunscripcion:4,SI,PRI,Ciencias políticas y sociales,,,,
99,danielgutierrezgutierrez,dgg_oaxaca,danielgutierrezgutierrez_oaxaca,Daniel Gutierrez Gutierrez,Licenciatura,Diputado Propietario,Mayoria Relativa,1976-02-15,Oaxaca,Distrito:10,SI,MORENA,Administración y contaduría,,,,
100,davidbautistarivera,dbr_puebla,davidbautistarivera_puebla,David Bautista Rivera,Licenciatura,Diputado Propietario,Representacion proporcional,1981-03-27,Puebla,Circunscripcion:4,SI,MORENA,Ciencias de la educación,,,,
101,davidorihuelanava,don_mexico,davidorihuelanava_mexico,David Orihuela Nava,Licenciatura,Diputado Propietario,Mayoria Relativa,1985-01-31,Mexico,Distrito:23,SI,MORENA,Derecho,,,,
102,diegoeduardodelbosquevillarreal,dedbv_coahuila,diegoeduardodelbosquevillarreal_coahuila,Diego Eduardo Del Bosque Villarreal,Licenciatura,Diputado Propietario,Representacion proporcional,1990-02-21,Coahuila,Circunscripcion:2,SI,MORENA,Ingeniería,,,,
103,dioniciavazquezgarcia,dvg_mexico,dioniciavazquezgarcia_mexico,Dionicia Vazquez Garcia,Secundaria,Diputada Propietario,Mayoria Relativa,1948-03-29,Mexico,Distrito:2,SI,PT,,,,,
104,dolorespadiernaluna,dpl_ciudad de mexico,dolorespadiernaluna_ciudad de mexico,Dolores Padierna Luna,Licenciatura,Diputada Propietario,Mayoria Relativa,1958-05-08,Ciudad de Mexico,Distrito:12,SI,MORENA,Económico-financiera,,,,
105,dorhenygarciacayetano,dgc_veracruz,dorhenygarciacayetano_veracruz,Dorheny Garcia Cayetano,Licenciatura,Diputada Propietario,Representacion proporcional,1990-07-25,Veracruz,Circunscripcion:3,SI,MORENA,Derecho,,,,
106,dulcealejandragarciamorlan,dagm_oaxaca,dulcealejandragarciamorlan_oaxaca,Dulce Alejandra Garcia Morlan,Licenciatura,Diputada Propietario,Representacion proporcional,1978-12-05,Oaxaca,Circunscripcion:3,SI,PAN,,,,,
107,dulcemariacorinavillegasguarneros,dmcvg_veracruz,dulcemariacorinavillegasguarneros_veracruz,Dulce Maria Corina Villegas Guarneros,No disponible,Diputada Propietario,Mayoria Relativa,1966-12-24,Veracruz,Distrito:15,SI,MORENA,,,,,
108,dulcemariamendezdelaluzdauzon,dmmdlld_veracruz,dulcemariamendezdelaluzdauzon_veracruz,Dulce Maria Mendez De La Luz Dauzon,Licenciatura,Diputada Propietario,Representacion proporcional,1985-10-06,Veracruz,Circunscripcion:3,SI,MC,Comunicación,,,,
109,dulcemariasauririancho,dmsr_yucatan,dulcemariasauririancho_yucatan,Dulce Maria Sauri Riancho,Doctorado,Diputada Propietario,Representacion proporcional,1951-08-14,Yucatan,Circunscripcion:3,NO,PRI,Humanidades,,,,
110,ectorjaimeramirezbarba,ejrb_guanajuato,ectorjaimeramirezbarba_guanajuato,Ector Jaime Ramirez Barba,Doctorado,Diputado Propietario,Mayoria Relativa,1956-12-01,Guanajuato,Distrito:5,SI,PAN,Ciencias de la salud,,,,
111,edelmirosantiagosantosdiaz,essd_nuevo leon,edelmirosantiagosantosdiaz_nuevo leon,Edelmiro Santiago Santos Diaz,Licenciatura,Diputado Propietario,Representacion proporcional,1960-07-02,Nuevo Leon,Circunscripcion:2,SI,MORENA,Ciencias de la salud,,,,
