CURP,Nombre,TipoLegislacion,Partido,FechaNacimiento,LugarNacimiento,PrincipioEleccion,Zona,UltimoGradoEstudios,PreparacionAcademica,Legislatura,InicioLegislatura,FinLegislatura
PBA,Alejandra Pani Barragan,Diputada Propietario,Morena,01/01/1900, ,Mayoría Relativa, Morelos Distrito: 2 (Jiutepec) ,Licenciatura,Administración y contaduría,LXIV,29/08/2018,31/08/2021
CHA,Alejandro Carvajal Hidalgo,Diputado Propietario,Morena,01/01/1900, ,Mayoría Relativa, Puebla Distrito: 6 (Heroica Puebla de Zaragoza) ,Licenciatura,Derecho,LXIV,29/08/2018,31/08/2021
MTA,Alejandro Mojica Toledo,Diputado Propietario,Morena,01/01/1900, ,Mayoría Relativa, Morelos Distrito: 1 (Cuernavaca) ,Pasante/Licenciatura trunca,Administración y contaduría,LXIV,29/08/2018,31/08/2021
PCA,Alejandro Ponce Cobos,Diputado Propietario,Morena,01/01/1900, ,Representación Proporcional, Oaxaca Circunscripción: Tercera ,,,LXIV,29/08/2018,31/08/2021
VVA,Alejandro Viedma Velazquez,Diputado Propietario,Morena,01/01/1900, ,Representación Proporcional, México Circunscripción: Quinta ,Licenciatura,Ciencias políticas y sociales,LXIV,29/08/2018,31/08/2021
RCA,Alfonso Ramirez Cuellar,Diputado Propietario,Morena,14/06/1959, Zacatecas ,Mayoría Relativa, Ciudad de México Distrito: 14 (Tlalpan) ,Pasante/Licenciatura trunca,Derecho,LXIV,29/08/2018,31/08/2021
FBA,Alfredo Femat Bañuelos,Diputado Propietario,PT,01/01/1900, ,Mayoría Relativa, Zacatecas Distrito: 3 (Zacatecas) ,Maestría,Económico-financiera,LXIV,29/08/2018,31/08/2021
PDA,Alfredo Porras Dominguez,Diputado Propietario,PT,01/01/1900, ,Mayoría Relativa, Baja California Sur Distrito: 2 (San José del Cabo) ,Licenciatura,Ciencias políticas y sociales,LXIV,29/08/2018,31/08/2021
VAA,Alfredo Villegas Arreola,Diputado Propietario,PRI,12/01/1951, Sinaloa ,Representación Proporcional, Sinaloa Circunscripción: Primera ,Licenciatura,Ingeniería,LXIV,29/08/2018,31/08/2021
NRAD,Alma Delia Navarrete Rivera,Diputada Propietario,Morena,01/01/1900, ,Mayoría Relativa, México Distrito: 10 (Ecatepec de Morelos) ,Pasante/Licenciatura trunca,Ciencias políticas y sociales,LXIV,29/08/2018,31/08/2021
RPAK,Ana Karina Rojo Pimentel,Diputada Propietario,PT,01/01/1900, ,Mayoría Relativa, Ciudad de México Distrito: 20 (Iztapalapa) ,Pasante/Licenciatura trunca,,LXIV,29/08/2018,31/08/2021
GQAL,Ana Lilia Guillen Quiroz,Diputada Propietario,Morena,05/02/1955, Michoacán ,Mayoría Relativa, Michoacán Distrito: 8 (Morelia) ,,,LXIV,29/08/2018,31/08/2021
HAAL,Ana Lilia Herrera Anzaldo,Diputada Propietario,PRI,29/08/1971, Distrito Federal ,Representación Proporcional, México Circunscripción: Quinta ,Maestría,Otra,LXIV,29/08/2018,31/08/2021
RMAL,Ana Lucia Riojas Martinez,Diputada Propietario,Sin Partido,01/01/1900, ,Representación Proporcional, Ciudad de México Circunscripción: Cuarta ,Licenciatura,Comunicación,LXIV,29/08/2018,31/08/2021
RRAM,Ana Maria Rodriguez Ruiz,Diputada Propietario,Morena,01/01/1900, ,Mayoría Relativa, Ciudad de México Distrito: 18 (Iztapalapa) ,Preparatoria,,LXIV,29/08/2018,31/08/2021
LBAP,Ana Paola Lopez Birlain,Diputada Propietario,PAN,01/01/1900, ,Mayoría Relativa, Querétaro Distrito: 5 (El Pueblito) ,Maestría,Ciencias políticas y sociales,LXIV,29/08/2018,31/08/2021
PDLPAP,Ana Patricia Peralta De La Peña,Diputada Propietario,Morena,01/01/1900, ,Representación Proporcional, Quintana Roo Circunscripción: Tercera ,Licenciatura,Administración y contaduría,LXIV,29/08/2018,31/08/2021
GGAR,Ana Ruth Garcia Grande,Diputada Propietario,PT,30/05/1971, Nayarit ,Mayoría Relativa, Baja California Sur Distrito: 1 (La Paz) ,Maestría,Derecho,LXIV,29/08/2018,31/08/2021
SCA,Anita Sanchez Castro,Diputada Propietario,Morena,01/01/1900, ,Mayoría Relativa, Michoacán Distrito: 6 (Ciudad Hidalgo) ,Licenciatura,Ciencias de la salud,LXIV,29/08/2018,31/08/2021
GCAS,Annia Sarahi Gomez Cardenas,Diputada Propietario,PAN,01/01/1900, ,Mayoría Relativa, Nuevo León Distrito: 6 (Monterrey) ,Licenciatura,Ciencias políticas y sociales,LXIV,29/08/2018,31/08/2021
DJAN,Antonia Natividad Diaz Jimenez,Diputada Propietario,PAN,13/06/1982, ,Representación Proporcional, Oaxaca Circunscripción: Tercera ,Licenciatura,Administración y contaduría,LXIV,29/08/2018,31/08/2021
OMA,Antonio Ortega Martinez,Diputado Propietario,PRD,28/07/1954, ,Representación Proporcional, Aguascalientes Circunscripción: Segunda ,Licenciatura,Ingeniería,LXIV,29/08/2018,31/08/2021
OMA,Araceli Ocampo Manzanares,Diputada Propietario,Morena,01/01/1900, ,Mayoría Relativa, Guerrero Distrito: 2 (Iguala) ,Licenciatura,Derecho,LXIV,29/08/2018,31/08/2021
RVA,Ariel Rodriguez Vazquez,Diputado Propietario,MC,01/01/1900, ,Mayoría Relativa, Guanajuato Distrito: 1 (San Luis de la Paz) ,Doctorado,Psicología,LXIV,29/08/2018,31/08/2021
CCA,Armando Contreras Castillo,Diputado Propietario,Morena,01/01/1900, ,Representación Proporcional, Oaxaca Circunscripción: Tercera ,Licenciatura,Económico-financiera,LXIV,29/08/2018,31/08/2021
GEA,Armando Gonzalez Escoto,Diputado Propietario,PES,01/01/1900, ,Mayoría Relativa, Ciudad de México Distrito: 2 (Gustavo A. Madero) ,Licenciatura,Ingeniería,LXIV,29/08/2018,31/08/2021
RLA,Armando Reyes Ledesma,Diputado Propietario,PT,10/04/1972, Coahuila ,Mayoría Relativa, Baja California Distrito: 3 (Ensenada) ,Preparatoria,,LXIV,29/08/2018,31/08/2021
TCA,Armando Tejeda Cid,Diputado Propietario,PAN,01/01/1900, ,Mayoría Relativa, Michoacán Distrito: 4 (Jiquilpan de Juárez) ,Maestría,Ciencias políticas y sociales,LXIV,29/08/2018,31/08/2021
EVA,Arturo Escobar y Vega,Diputado Propietario,PVEM,23/04/1970, Distrito Federal ,Representación Proporcional, Ciudad de México Circunscripción: Cuarta ,Maestría,Derecho,LXIV,29/08/2018,31/08/2021
HTAR,Arturo Roberto Hernandez Tapia,Diputado Propietario,Morena,01/01/1900, ,Mayoría Relativa, México Distrito: 35 (Tenancingo de Degollado) ,Maestría,Ciencias de la salud,LXIV,29/08/2018,31/08/2021
SCA,Azael Santiago Chepi,Diputado Propietario,Morena,01/01/1900, ,Mayoría Relativa, Oaxaca Distrito: 4 (Tlacolula de Matamoros) ,Maestría,Ciencias de la educación,LXIV,29/08/2018,31/08/2021
PLBD,Beatriz Dominga Perez Lopez,Diputada Propietario,Morena,01/01/1900, ,Mayoría Relativa, Oaxaca Distrito: 6 (Heroica Ciudad de Tlaxiaco) ,Licenciatura,Derecho,LXIV,29/08/2018,31/08/2021
RMB,Beatriz Rojas Martinez,Diputada Propietario,Morena,01/01/1900, ,Mayoría Relativa, Ciudad de México Distrito: 7 (Gustavo A. Madero) ,Licenciatura,Derecho,LXIV,29/08/2018,31/08/2021
RGBS,Beatriz Silvia Robles Gutierrez,Diputada Propietario,Morena,01/01/1900, ,Mayoría Relativa, Querétaro Distrito: 3 (Santiago de Querétaro) ,Maestría,Administración y contaduría,LXIV,29/08/2018,31/08/2021
MHB,Benito Medina Herrera,Diputado Propietario,PRI,05/06/1950, Baja California ,Representación Proporcional, Baja California Circunscripción: Primera ,Maestría,Otra,LXIV,29/08/2018,31/08/2021
HCBS,Benjamin Saul Huerta Corona,Diputado Propietario,Morena,01/01/1900, ,Mayoría Relativa, Puebla Distrito: 11 (Heroica Puebla de Zaragoza) ,Licenciatura,Derecho,LXIV,29/08/2018,31/08/2021
ALB,Bonifacio Aguilar Linda,Diputado Propietario,Morena,01/01/1900, ,Mayoría Relativa, Veracruz Distrito: 18 (Zongolica) ,Secundaria,,LXIV,29/08/2018,31/08/2021
APBA,Brasil Alberto Acosta Peña,Diputado Propietario,PRI,21/06/1970, México ,Representación Proporcional, México Circunscripción: Quinta ,Doctorado,Económico-financiera,LXIV,29/08/2018,31/08/2021
ELB,Brenda Espinoza Lopez,Diputada Propietario,Morena,01/01/1900, ,Representación Proporcional, Morelos Circunscripción: Cuarta ,Licenciatura,Económico-financiera,LXIV,29/08/2018,31/08/2021
MVCA,Carlos Alberto Morales Vazquez,Diputado Propietario,Sin Partido,01/01/1900, ,Representación Proporcional, Chiapas Circunscripción: Tercera ,Licenciatura,Arquitectura y diseño,LXIV,29/08/2018,31/08/2021
PSCA,Carlos Alberto Puente Salas,Diputado Propietario,PVEM,16/12/1971, Zacatecas ,Representación Proporcional, Zacatecas Circunscripción: Segunda ,Licenciatura,Derecho,LXIV,29/08/2018,31/08/2021
VGCA,Carlos Alberto Valenzuela Gonzalez,Diputado Propietario,PAN,01/01/1900, ,Representación Proporcional, Veracruz Circunscripción: Tercera ,Maestría,Ciencias políticas y sociales,LXIV,29/08/2018,31/08/2021
CMC,Carlos Carreon Mejia,Diputado Propietario,PAN,01/01/1900, ,Representación Proporcional, Tlaxcala Circunscripción: Cuarta ,Licenciatura,Otra,LXIV,29/08/2018,31/08/2021
MACE,Carlos Enrique Martinez Ake,Diputado Propietario,Morena,01/01/1900, ,Mayoría Relativa, Campeche Distrito: 1 (San Francisco de Campeche) ,Pasante/Licenciatura trunca,Derecho,LXIV,29/08/2018,31/08/2021
CVCH,Carlos Humberto Castaños Valenzuela,Diputado Propietario,PAN,14/04/1977, Sinaloa ,Representación Proporcional, Sinaloa Circunscripción: Primera ,Licenciatura,Ciencias políticas y sociales,LXIV,29/08/2018,31/08/2021
PCC,Carlos Pavon Campos,Diputado Propietario,PRI,01/01/1900, ,Representación Proporcional, Zacatecas Circunscripción: Segunda ,Secundaria,,LXIV,29/08/2018,31/08/2021
SBC,Carlos Sanchez Barrios,Diputado Propietario,Morena,17/08/1957, ,Mayoría Relativa, Guerrero Distrito: 7 (Chilpancingo) ,Maestría,Ciencias políticas y sociales,LXIV,29/08/2018,31/08/2021
TPC,Carlos Torres Piña,Diputado Propietario,Morena,01/03/1979, Michoacán ,Representación Proporcional, Michoacán Circunscripción: Quinta ,Licenciatura,Derecho,LXIV,29/08/2018,31/08/2021
PGCJ,Carmen Julia Prudencio Gonzalez,Diputada Propietario,MC,30/06/1977, Jalisco ,Mayoría Relativa, Jalisco Distrito: 9 (Guadalajara) ,Licenciatura,Derecho,LXIV,29/08/2018,31/08/2021
MRCJ,Carmen Julieta Macias Rabago,Diputada Propietario,MC,01/01/1900, ,Representación Proporcional, Ciudad de México Circunscripción: Cuarta ,Licenciatura,Comunicación,LXIV,29/08/2018,31/08/2021
MPC,Carmen Medel Palma,Diputada Propietario,Morena,26/09/1960, ,Mayoría Relativa, Veracruz Distrito: 14 (Minatitlán) ,Maestría,Ciencias de la salud,LXIV,29/08/2018,31/08/2021
MGC,Carmen Mora Garcia,Diputada Propietario,Morena,01/01/1900, ,Mayoría Relativa, Veracruz Distrito: 9 (Coatepec) ,Secundaria,,LXIV,29/08/2018,31/08/2021
POCP,Carmen Patricia Palma Olvera,Diputada Propietario,Morena,01/01/1900, ,Mayoría Relativa, Quintana Roo Distrito: 2 (Chetumal) ,,,LXIV,29/08/2018,31/08/2021
AAC,Carol Antonio Altamirano,Diputado Propietario,Morena,13/12/1963, Oaxaca ,Mayoría Relativa, Oaxaca Distrito: 5 (Salina Cruz) ,Licenciatura,Derecho,LXIV,29/08/2018,31/08/2021
GAC,Carolina Garcia Aguilar,Diputada Propietario,PES,01/01/1900, ,Mayoría Relativa, México Distrito: 6 (Coacalco de Berriozabal) ,,,LXIV,29/08/2018,31/08/2021
PLCA,Cecilia Anunciacion Patron Laviada,Diputada Propietario,PAN,01/01/1900, ,Representación Proporcional, Yucatán Circunscripción: Tercera ,Licenciatura,Comunicación,LXIV,29/08/2018,31/08/2021
DVCA,Claudia Angelica Dominguez Vazquez,Diputada Propietario,PT,01/01/1900, ,Mayoría Relativa, México Distrito: 14 (Ciudad Adolfo López Mateos) ,Licenciatura,Derecho,LXIV,29/08/2018,31/08/2021
BRC,Claudia Baez Ruiz,Diputada Propietario,Morena,01/01/1900, ,Mayoría Relativa, Puebla Distrito: 3 (Teziutlán) ,Licenciatura,Comunicación,LXIV,29/08/2018,31/08/2021
LMCE,Claudia Elena Lastra Muñoz,Diputada Propietario,PT,01/01/1900, ,Mayoría Relativa, Chihuahua Distrito: 3 (Juárez) ,Licenciatura,,LXIV,29/08/2018,31/08/2021
LRC,Claudia Lopez Rayon,Diputada Propietario,Morena,01/01/1900, ,Mayoría Relativa, Ciudad de México Distrito: 5 (Tlalpan) ,Técnico,Otra,LXIV,29/08/2018,31/08/2021
PBC,Claudia Pastor Badilla,Diputada Propietario,PRI,01/01/1900, ,Representación Proporcional, Ciudad de México Circunscripción: Cuarta ,Maestría,Ciencias políticas y sociales,LXIV,29/08/2018,31/08/2021
RMC,Claudia Reyes Montiel,Diputada Propietario,PRD,01/01/1900, ,Mayoría Relativa, México Distrito: 18 (Huixquilucan de Degollado) ,Maestría,Ciencias políticas y sociales,LXIV,29/08/2018,31/08/2021
DGCM,Clementina Marta Dekker Gomez,Diputada Propietario,PT,10/04/1973, Chiapas ,Mayoría Relativa, Chiapas Distrito: 5 (San Cristóbal de las Casas) ,Licenciatura,Ciencias políticas y sociales,LXIV,29/08/2018,31/08/2021
RSCJ,Cruz Juvenal Roa Sanchez,Diputado Propietario,PRI,01/01/1900, ,Mayoría Relativa, México Distrito: 36 (Tejupilco de Hidalgo) ,Doctorado,Derecho,LXIV,29/08/2018,31/08/2021
LCCI,Cynthia Iliana Lopez Castro,Diputada Propietario,PRI,01/01/1900, ,Representación Proporcional, Ciudad de México Circunscripción: Cuarta ,Maestría,Ciencias políticas y sociales,LXIV,29/08/2018,31/08/2021
HPCA,Cesar Agustin Hernandez Perez,Diputado Propietario,Morena,01/01/1900, ,Mayoría Relativa, México Distrito: 30 (Chimalhuacán) ,Maestría,Ciencias políticas y sociales,LXIV,29/08/2018,31/08/2021
GGD,Daniel Gutierrez Gutierrez,Diputado Propietario,Morena,01/01/1900, ,Mayoría Relativa, Oaxaca Distrito: 10 (Miahuatlán de Porfirio Díaz) ,Licenciatura,Administración y contaduría,LXIV,29/08/2018,31/08/2021
BRD,David Bautista Rivera,Diputado Propietario,Morena,01/01/1900, ,Representación Proporcional, Puebla Circunscripción: Cuarta ,Licenciatura,Ciencias de la educación,LXIV,29/08/2018,31/08/2021
OND,David Orihuela Nava,Diputado Propietario,Morena,01/01/1900, ,Mayoría Relativa, México Distrito: 23 (Lerma de Villada) ,Licenciatura,Derecho,LXIV,29/08/2018,31/08/2021
DBVDE,Diego Eduardo Del Bosque Villarreal,Diputado Propietario,Morena,01/01/1900, ,Representación Proporcional, Coahuila Circunscripción: Segunda ,Licenciatura,Ingeniería,LXIV,29/08/2018,31/08/2021
VGD,Dionicia Vazquez Garcia,Diputada Propietario,PT,01/01/1900, ,Mayoría Relativa, México Distrito: 2 (Santa María Tultepec) ,Secundaria,,LXIV,29/08/2018,31/08/2021
GCD,Dorheny Garcia Cayetano,Diputada Propietario,Morena,01/01/1900, ,Representación Proporcional, Veracruz Circunscripción: Tercera ,Licenciatura,Derecho,LXIV,29/08/2018,31/08/2021
VGDMC,Dulce Maria Corina Villegas Guarneros,Diputada Propietario,Morena,01/01/1900, ,Mayoría Relativa, Veracruz Distrito: 15 (Orizaba) ,,,LXIV,29/08/2018,31/08/2021
MDLLDDM,Dulce Maria Mendez De La Luz Dauzon,Diputada Propietario,MC,01/01/1900, ,Representación Proporcional, Veracruz Circunscripción: Tercera ,Licenciatura,Comunicación,LXIV,29/08/2018,31/08/2021
SRDM,Dulce Maria Sauri Riancho,Diputada Propietario,PRI,14/08/1951, Yucatán ,Representación Proporcional, Yucatán Circunscripción: Tercera ,Doctorado,Humanidades,LXIV,29/08/2018,31/08/2021
SDES,Edelmiro Santiago Santos Diaz,Diputado Propietario,Morena,01/01/1900, ,Representación Proporcional, Nuevo León Circunscripción: Segunda ,Licenciatura,Ciencias de la salud,LXIV,29/08/2018,31/08/2021
GVE,Edgar Guzman Valdez,Diputado Propietario,PES,01/01/1900, ,Mayoría Relativa, Puebla Distrito: 7 (Tepeaca) ,Pasante/Licenciatura trunca,Humanidades,LXIV,29/08/2018,31/08/2021
RAE,Ediltrudis Rodriguez Arellano,Diputada Propietario,Morena,23/06/1954, Tabasco ,Representación Proporcional, Tabasco Circunscripción: Tercera ,Licenciatura,Ciencias de la educación,LXIV,29/08/2018,31/08/2021
GRE,Edith Garcia Rosales,Diputada Propietario,Morena,01/01/1900, ,Representación Proporcional, Veracruz Circunscripción: Tercera ,,,LXIV,29/08/2018,31/08/2021
MTEM,Edith Marisol Mercado Torres,Diputada Propietario,Morena,01/01/1900, ,Representación Proporcional, México Circunscripción: Quinta ,Maestría,Otra,LXIV,29/08/2018,31/08/2021
RVE,Efrain Rocha Vega,Diputado Propietario,Morena,01/01/1900, ,Representación Proporcional, Chihuahua Circunscripción: Primera ,Licenciatura,Ingeniería,LXIV,29/08/2018,31/08/2021
TDEL,Elba Lorena Torres Diaz,Diputada Propietario,PT,01/01/1900, ,Mayoría Relativa, Aguascalientes Distrito: 2 (Aguascalientes) ,Licenciatura,Ciencias de la salud,LXIV,29/08/2018,31/08/2021
ASE,Eleuterio Arrieta Sanchez,Diputado Propietario,Morena,01/01/1900, ,Mayoría Relativa, Veracruz Distrito: 13 (Huatusco) ,Maestría,Ciencias de la salud,LXIV,29/08/2018,31/08/2021
MAEC,Emeteria Claudia Martinez Aguilar,Diputada Propietario,Morena,03/03/1985, Chiapas ,Representación Proporcional, Chiapas Circunscripción: Tercera ,Licenciatura,Psicología,LXIV,29/08/2018,31/08/2021
MTE,Emilio Manzanilla Tellez,Diputado Propietario,PT,01/01/1900, ,Mayoría Relativa, México Distrito: 16 (Ecatepec de Morelos) ,Licenciatura,Ciencias políticas y sociales,LXIV,29/08/2018,31/08/2021
RCE,Emmanuel Reyes Carmona,Diputado Propietario,Morena,01/01/1900, ,Mayoría Relativa, Guanajuato Distrito: 13 (Valle de Santiago) ,Licenciatura,Derecho,LXIV,29/08/2018,31/08/2021
ORE,Enrique Ochoa Reza,Diputado Propietario,PRI,01/09/1972, Michoacán ,Representación Proporcional, Michoacán Circunscripción: Quinta ,Doctorado,Ciencias políticas y sociales,LXIV,29/08/2018,31/08/2021
RGE,Eraclio Rodriguez Gomez,Diputado Propietario,PT,01/01/1900, ,Mayoría Relativa, Chihuahua Distrito: 7 (Cuauhtémoc) ,Pasante/Licenciatura trunca,,LXIV,29/08/2018,31/08/2021
GRE,Erasmo Gonzalez Robledo,Diputado Propietario,Morena,01/01/1900, ,Mayoría Relativa, Tamaulipas Distrito: 7 (Ciudad Madero) ,Maestría,Ciencias políticas y sociales,LXIV,29/08/2018,31/08/2021
MEEI,Erik Isaac Morales Elvira,Diputado Propietario,Morena,01/09/1976, ,Mayoría Relativa, Baja California Distrito: 7 (Mexicali) ,,,LXIV,29/08/2018,31/08/2021
RUEM,Erika Mariana Rosas Uribe,Diputada Propietario,Morena,01/01/1900, ,Representación Proporcional, Sinaloa Circunscripción: Primera ,Licenciatura,Comunicación,LXIV,29/08/2018,31/08/2021
DCIEV,Erika Vanessa Del Castillo Ibarra,Diputada Propietario,Morena,01/01/1900, ,Mayoría Relativa, Ciudad de México Distrito: 1 (Gustavo A. Madero) ,Licenciatura,Ciencias políticas y sociales,LXIV,29/08/2018,31/08/2021
RAE,Ernesto Ruffo Appel,Diputado Propietario,PAN,25/06/1952, ,Representación Proporcional, Baja California Circunscripción: Primera ,Licenciatura,Administración y contaduría,LXIV,29/08/2018,31/08/2021
MMEdlA,Esmeralda de los Angeles Moreno Medina,Diputada Propietario,PES,01/01/1900, ,Mayoría Relativa, México Distrito: 26 (Toluca de Lerdo) ,Maestría,Derecho,LXIV,29/08/2018,31/08/2021
BBE,Esteban Barajas Barajas,Diputado Propietario,Morena,01/01/1900, ,Mayoría Relativa, Michoacán Distrito: 2 (Puruandiro) ,Licenciatura,Ciencias políticas y sociales,LXIV,29/08/2018,31/08/2021
NAE,Estela Nuñez Alvarez,Diputada Propietario,Morena,01/01/1900, ,Mayoría Relativa, Tabasco Distrito: 1 (Macuspana) ,Licenciatura,Ciencias de la educación,LXIV,29/08/2018,31/08/2021
RFEJ,Eulalio Juan Rios Fararoni,Diputado Propietario,Morena,01/01/1900, ,Mayoría Relativa, Veracruz Distrito: 20 (Cosoleacaque) ,Licenciatura,,LXIV,29/08/2018,31/08/2021
PREL,Evaristo Lenin Perez Rivera,Diputado Propietario,Morena,01/01/1900, ,Mayoría Relativa, Coahuila Distrito: 1 (Piedras Negras) ,Maestría,Comunicación,LXIV,29/08/2018,31/08/2021
LHFRG,Fabiola Raquel Guadalupe Loya Hernandez,Diputada Propietario,MC,05/11/1974, Sonora ,Mayoría Relativa, Jalisco Distrito: 6 (Zapopan) ,Licenciatura,Administración y contaduría,LXIV,29/08/2018,31/08/2021
FAF,Feliciano Flores Anguiano,Diputado Propietario,Morena,01/01/1900, ,Mayoría Relativa, Michoacán Distrito: 1 (Lázaro Cárdenas) ,Pasante/Licenciatura trunca,Ciencias de la educación,LXIV,29/08/2018,31/08/2021
MOFF,Felipe Fernando Macias Olvera,Diputado Propietario,PAN,01/01/1900, ,Mayoría Relativa, Querétaro Distrito: 4 (Santiago de Querétaro) ,Maestría,Ciencias políticas y sociales,LXIV,29/08/2018,31/08/2021
ADLLFR,Felipe Rafael Arvizu De La Luz,Diputado Propietario,Morena,01/01/1900, ,Mayoría Relativa, México Distrito: 12 (Ixtapaluca) ,Maestría,Administración y contaduría,LXIV,29/08/2018,31/08/2021
GFF,Fernando Galindo Favela,Diputado Propietario,PRI,06/05/1978, ,Representación Proporcional, Ciudad de México Circunscripción: Cuarta ,Licenciatura,Económico-financiera,LXIV,29/08/2018,31/08/2021
MPFL,Fernando Luis Manzanilla Prieto,Diputado Propietario,PES,10/05/1968, ,Mayoría Relativa, Puebla Distrito: 12 (Heroica Puebla de Zaragoza) ,Maestría,Ciencias políticas y sociales,LXIV,29/08/2018,31/08/2021
TGF,Fernando Torres Graciano,Diputado Propietario,PAN,27/08/1970, Guanajuato ,Representación Proporcional, Guanajuato Circunscripción: Segunda ,Maestría,Derecho,LXIV,29/08/2018,31/08/2021
CSFT,Flora Tania Cruz Santos,Diputada Propietario,Morena,01/01/1900, ,Mayoría Relativa, Veracruz Distrito: 11 (Coatzacoalcos) ,Maestría,Ciencias de la educación,LXIV,29/08/2018,31/08/2021
RCF,Fortunato Rivera Castillo,Diputado Propietario,Morena,01/01/1900, ,Mayoría Relativa, Hidalgo Distrito: 1 (Huejutla de Reyes) ,Licenciatura,Otra,LXIV,29/08/2018,31/08/2021
EGF,Francisco Elizondo Garrido,Diputado Propietario,Morena,17/01/1982, ,Representación Proporcional, Nuevo León Circunscripción: Segunda ,Maestría,Derecho,LXIV,29/08/2018,31/08/2021
FPF,Francisco Favela Peñuñuri,Diputado Propietario,PT,01/01/1900, ,Mayoría Relativa, México Distrito: 5 (Teotihuacan de Arista) ,Licenciatura,Ciencias de la salud,LXIV,29/08/2018,31/08/2021
BAFJ,Francisco Javier Borrego Adame,Diputado Propietario,Morena,01/01/1900, ,Mayoría Relativa, Coahuila Distrito: 2 (San Pedro) ,Técnico,Administración y contaduría,LXIV,29/08/2018,31/08/2021
GDLTFJ,Francisco Javier Guzman De La Torre,Diputado Propietario,Morena,29/08/1944, Jalisco ,Representación Proporcional, Jalisco Circunscripción: Primera ,Secundaria,,LXIV,29/08/2018,31/08/2021
LNFJ,Francisco Javier Luevano Nuñez,Diputado Propietario,PAN,01/01/1900, ,Mayoría Relativa, Aguascalientes Distrito: 1 (Jesús María) ,Pasante/Licenciatura trunca,Arquitectura y diseño,LXIV,29/08/2018,31/08/2021
RNFJ,Francisco Javier Ramirez Navarrete,Diputado Propietario,Morena,01/01/1900, ,Representación Proporcional, México Circunscripción: Quinta ,Licenciatura,Otra,LXIV,29/08/2018,31/08/2021
SCFJ,Francisco Javier Saldivar Camacho,Diputado Propietario,PES,01/01/1900, ,Mayoría Relativa, Ciudad de México Distrito: 17 (Cuajimalpa de Morelos) ,Pasante/Licenciatura trunca,Administración y contaduría,LXIV,29/08/2018,31/08/2021
