CURP,Nombre,TipoLegislacion,Partido,FechaNacimiento,LugarNacimiento,PrincipioEleccion,Zona,UltimoGradoEstudios,PreparacionAcademica,Legislatura,InicioLegislatura,FinLegislatura
LRA,Alberto Lopez Rosas,Diputado Propietario,PRD,18/11/1954, ,Mayoría Relativa, Guerrero Distrito: 10 (Acapulco) ,Licenciatura,Derecho,LVII,22/08/1997,31/08/2000
MMA,Alberto Martinez Miranda,Diputado Propietario,PRD,27/04/1958, ,Mayoría Relativa, México Distrito: 12 (Texcoco de Mora) ,Licenciatura,Derecho,LVII,22/08/1997,31/08/2000
SdHA,Alberto Santos de Hoyos,Senador Propietario,PRI,13/09/1942, Nuevo León ,Mayoría Relativa, Nuevo León ,Licenciatura,Administración y contaduría,LVII,22/08/1997,31/08/2000
UGA,Alberto Ulloa Godinez,Diputado Suplente,PAN,01/01/1900, ,Mayoría Relativa, Jalisco Distrito: 5 (Puerto Vallarta) ,,,LVII,22/08/1997,31/08/2000
GAA,Alejandro Garcia Acevedo,Senador Suplente,PRD,15/02/1943, Nayarit ,Primera Minoría, Nayarit ,Maestría,Ciencias de la educación,LVII,22/08/1997,31/08/2000
OCA,Alejandro Oaxaca Carreon,Diputado Suplente,PRI,01/01/1900, ,Mayoría Relativa, Puebla Distrito: 10 (Atlixco) ,,,LVII,22/08/1997,31/08/2000
CZA,Alfonso Carrillo Zavala,Diputado Propietario,PRI,28/05/1942, Campeche ,Representación Proporcional, Campeche Circunscripción: Tercera ,Técnico,,LVII,22/08/1997,31/08/2000
GSHAJ,Alfonso Jose Gomez Sandoval Hernandez,Diputado Propietario,PRI,31/05/1961, Oaxaca ,Mayoría Relativa, Oaxaca Distrito: 8 (Oaxaca de Juárez) ,Licenciatura,Derecho,LVII,22/08/1997,31/08/2000
MDA,Alfonso Martinez Dominguez,Senador Propietario,PRI,07/01/1905, Nuevo León ,Representación Proporcional, Nuevo León ,,,LVII,22/08/1997,31/08/2000
RCA,Alfonso Ramirez Cuellar,Diputado Propietario,PRD,14/06/1959, Zacatecas ,Representación Proporcional, Zacatecas Circunscripción: Segunda ,Licenciatura,Humanidades,LVII,22/08/1997,31/08/2000
LRA,Alfredo Lomeli Rivas,Diputado Propietario,PRI,12/05/1954, Sonora ,Representación Proporcional, Sonora Circunscripción: Primera ,Pasante/Licenciatura trunca,Derecho,LVII,22/08/1997,31/08/2000
GOAM,Alfredo Magno Garcimarrero Ochoa,Senador Suplente,PRD,09/05/1939, Veracruz ,Primera Minoría, Veracruz ,,,LVII,22/08/1997,31/08/2000
POA,Alfredo Phillips Olmedo,Diputado Propietario,PRI,01/01/1900, ,Representación Proporcional, Tamaulipas Circunscripción: Segunda ,Licenciatura,Económico-financiera,LVII,22/08/1997,31/08/2000
VAA,Alfredo Villegas Arreola,Diputado Propietario,PRI,12/01/1951, Sinaloa ,Mayoría Relativa, Sinaloa Distrito: 3 (Navolato) ,Maestría,Administración y contaduría,LVII,22/08/1997,31/08/2000
VSAA,Alma Angelina Vucovich Seele,Diputada Propietario,PRD,03/12/1946, ,Representación Proporcional, Sonora Circunscripción: Primera ,Maestría,Administración y contaduría,LVII,22/08/1997,31/08/2000
UVA,Alonso Ulloa Velez,Diputado Suplente,PAN,25/03/1966, Distrito Federal ,Representación Proporcional, Jalisco Circunscripción: Primera ,Licenciatura,Ingeniería,LVII,22/08/1997,31/08/2000
RLA,Amador Rodriguez Lozano,Senador Propietario,PRI,27/02/1951, San Luis Potosí ,Mayoría Relativa, Baja California ,Licenciatura,Derecho,LVII,22/08/1997,31/08/2000
GTAG,Amira Gricelda Gomez Tueme,Diputada Propietario,PRI,21/09/1954, Nuevo León ,Representación Proporcional, N/A ,Licenciatura,Administración y contaduría,LVII,22/08/1997,31/08/2000
CTAL,Ana Lila Ceballos Trujeque,Diputada Propietario,PRD,30/04/1953, ,Representación Proporcional, Tabasco Circunscripción: Tercera ,Licenciatura,Económico-financiera,LVII,22/08/1997,31/08/2000
DlFSAM,Ana Maria De la Fuente Solis,Diputada Suplente,PRI,01/01/1900, ,Representación Proporcional, N/A ,,,LVII,22/08/1997,31/08/2000
PCAR,Ana Rosa Payan Cervera,Senadora Propietario,PAN,10/09/1951, Campeche ,Representación Proporcional, Yucatán ,Maestría,Administración y contaduría,LVII,22/08/1997,31/08/2000
SLA,Anastacio Solis Lezo,Diputado Propietario,PRD,15/04/1963, ,Mayoría Relativa, Morelos Distrito: 2 (Yautepec) ,Pasante/Licenciatura trunca,Ingeniería,LVII,22/08/1997,31/08/2000
BGAMA,Andres Marco Antonio Bernal Gutierrez,Senador Propietario,PRI,30/11/1953, Tamaulipas ,Representación Proporcional, Tamaulipas ,Maestría,Ciencias políticas y sociales,LVII,22/08/1997,31/08/2000
DlPGA,Angelica De la Peña Gomez,Diputada Propietario,PRD,30/05/1954, Jalisco ,Representación Proporcional, Aguascalientes Circunscripción: Segunda ,Licenciatura,Humanidades,LVII,22/08/1997,31/08/2000
GVAM,Antonia Monica Garcia Velazquez,Diputada Propietario,PRI,25/01/1969, Tamaulipas ,Mayoría Relativa, Tamaulipas Distrito: 1 (Nuevo Laredo) ,Licenciatura,Administración y contaduría,LVII,22/08/1997,31/08/2000
MGAB,Antonio Benjamin Manriquez Guluarte,Diputado Propietario,PRI,15/02/1952, Baja California Sur ,Mayoría Relativa, Baja California Sur Distrito: 2 (La Paz) ,Licenciatura,Derecho,LVII,22/08/1997,31/08/2000
CSA,Antonio Cabello Sanchez,Diputado Propietario,PRD,23/02/1947, ,Mayoría Relativa, México Distrito: 31 (Nezahualcóyotl) ,Licenciatura,Económico-financiera,LVII,22/08/1997,31/08/2000
EBA,Antonio Esper Bujaidar,Diputado Propietario,PRI,27/10/1931, San Luis Potosí ,Mayoría Relativa, San Luis Potosí Distrito: 4 (Ciudad Valles) ,,,LVII,22/08/1997,31/08/2000
LÁA,Antonio Lagunas Angel,Diputado Propietario,PRD,01/01/1942, ,Representación Proporcional, Michoacán Circunscripción: Quinta ,,,LVII,22/08/1997,31/08/2000
PRA,Antonio Palomino Rivera,Diputado Propietario,PRD,10/04/1931, ,Mayoría Relativa, Distrito Federal Distrito: 3 (Azcapotzalco) ,Pasante/Licenciatura trunca,Derecho,LVII,22/08/1997,31/08/2000
SSA,Antonio Soto Sanchez,Diputado Propietario,PRD,12/06/1964, Michoacán ,Mayoría Relativa, Michoacán Distrito: 13 (Lázaro Cárdenas) ,Maestría,Ciencias políticas y sociales,LVII,22/08/1997,31/08/2000
HMA,Aquileo Herrera Munguia,Diputado Propietario,PRI,16/05/1955, Veracruz ,Mayoría Relativa, Veracruz Distrito: 15 (Orizaba) ,Licenciatura,Administración y contaduría,LVII,22/08/1997,31/08/2000
EJA,Aracely Escalante Jasso,Diputada Propietario,PRI,17/07/1943, Campeche ,Mayoría Relativa, Campeche Distrito: 2 (Ciudad del Carmen) ,Secundaria,,LVII,22/08/1997,31/08/2000
MTA,Areli Madrid Tovilla,Diputada Propietario,PRI,18/02/1952, Chiapas ,Mayoría Relativa, Chiapas Distrito: 11 (Huixtla) ,Doctorado,Derecho,LVII,22/08/1997,31/08/2000
AHA,Armando Aguirre Hervis,Diputado Propietario,PRD,18/04/1955, Veracruz ,Representación Proporcional, N/A ,Licenciatura,Ciencias de la salud,LVII,22/08/1997,31/08/2000
CBA,Armando Chavarria Barrera,Diputado Propietario,PRD,27/08/1956, Guerrero ,Representación Proporcional, Guerrero Circunscripción: Quinta ,Maestría,Comunicación,LVII,22/08/1997,31/08/2000
LRA,Armando Lopez Romero,Diputado Propietario,Ind.,14/02/1952, ,Mayoría Relativa, Distrito Federal Distrito: 24 (Coyoacán) ,,,LVII,22/08/1997,31/08/2000
NCA,Armando Neyra Chavez,Diputado Propietario,PRI,18/02/1937, México ,Representación Proporcional, México Circunscripción: Quinta ,Ninguno,,LVII,22/08/1997,31/08/2000
RHA,Armando Rangel Hernandez,Diputado Propietario,PAN,20/10/1965, Guanajuato ,Mayoría Relativa, Guanajuato Distrito: 2 (San Miguel de Allende) ,Licenciatura,Ingeniería,LVII,22/08/1997,31/08/2000
LOA,Arquimides Leon Ovando,Diputado Propietario,PRI,02/08/1953, Chiapas ,Mayoría Relativa, Chiapas Distrito: 1 (Palenque) ,Profesor Normalista,Ciencias de la educación,LVII,22/08/1997,31/08/2000
CHA,Artemio Caamal Hernandez,Diputado Propietario,PRI,20/10/1946, Yucatán ,Mayoría Relativa, Quintana Roo Distrito: 2 (Chetumal) ,Técnico,Ciencias de la educación,LVII,22/08/1997,31/08/2000
CCA,Arturo Charles Charles,Diputado Propietario,PRI,07/02/1939, Nuevo León ,Mayoría Relativa, Nuevo León Distrito: 9 (Linares) ,Licenciatura,Derecho,LVII,22/08/1997,31/08/2000
GQAJ,Arturo Jairo Garcia Quintanar,Diputado Propietario,PRI,15/06/1950, Zacatecas ,Representación Proporcional, Zacatecas Circunscripción: Segunda ,Licenciatura,Económico-financiera,LVII,22/08/1997,31/08/2000
NBA,Arturo Nava Bolaños,Senador Propietario,PAN,15/11/1941, Michoacán ,Primera Minoría, Querétaro ,,,LVII,22/08/1997,31/08/2000
SCGA,Arturo Saiz Calderon Garcia,Diputado Propietario,PAN,12/06/1946, Distrito Federal ,Mayoría Relativa, Guanajuato Distrito: 6 (León) ,Maestría,Administración y contaduría,LVII,22/08/1997,31/08/2000
CÁAR,Augusto Rafael Carrion Alvarez,Diputado Propietario,PRI,12/10/1954, Veracruz ,Mayoría Relativa, Veracruz Distrito: 19 (San Andrés Tuxtla) ,Licenciatura,Derecho,LVII,22/08/1997,31/08/2000
HGA,Auldarico Hernandez Geronimo,Senador Propietario,PRD,10/03/1964, Tabasco ,Primera Minoría, Tabasco ,,,LVII,22/08/1997,31/08/2000
BLA,Aurora Bazan Lopez,Diputada Propietario,PVEM,01/01/1900, ,Representación Proporcional, Oaxaca Circunscripción: Tercera ,Licenciatura,Ciencias de la salud,LVII,22/08/1997,31/08/2000
DNB,Baldemar Dzul Noh,Diputado Propietario,PT,20/01/1964, Yucatán ,Representación Proporcional, N/A ,Preparatoria,,LVII,22/08/1997,31/08/2000
TMB,Baldemar Tudon Martinez,Diputado Propietario,PAN,08/03/1965, Nuevo León ,Mayoría Relativa, Nuevo León Distrito: 3 (San Nicolás de los Garza) ,Licenciatura,Derecho,LVII,22/08/1997,31/08/2000
PRBE,Beatriz Elena Paredes Rangel,Senadora Propietario,PRI,18/08/1953, Tlaxcala ,Representación Proporcional, Tlaxcala ,Pasante/Licenciatura trunca,Otra,LVII,22/08/1997,31/08/2000
AFB,Benigno Aladro Fernandez,Senador Propietario,PAN,06/07/1948, Hidalgo ,Primera Minoría, Hidalgo ,Licenciatura,Administración y contaduría,LVII,22/08/1997,31/08/2000
RIBF,Benito Fernando Rosel Isaac,Senador Propietario,PAN,26/05/1939, Yucatán ,Primera Minoría, Yucatán ,,,LVII,22/08/1997,31/08/2000
MLB,Benito Miron Lince,Diputado Propietario,PRD,25/01/1947, ,Mayoría Relativa, Distrito Federal Distrito: 20 (Iztapalapa) ,Licenciatura,Derecho,LVII,22/08/1997,31/08/2000
GSB,Benjamin Gallegos Soto,Diputado Propietario,PAN,22/04/1960, Aguascalientes ,Mayoría Relativa, Aguascalientes Distrito: 2 (Aguascalientes) ,Técnico,Otra,LVII,22/08/1997,31/08/2000
BVB,Bernardo Batiz Vazquez,Diputado Propietario,PRD,14/09/1936, ,Representación Proporcional, Distrito Federal Circunscripción: Cuarta ,Maestría,Derecho,LVII,22/08/1997,31/08/2000
SRB,Bernardo Segura Rivera,Diputado Propietario,PRD,11/02/1970, ,Representación Proporcional, México Circunscripción: Quinta ,Licenciatura,Ciencias de la educación,LVII,22/08/1997,31/08/2000
HRB,Bertha Hernandez Rodriguez,Diputada Propietario,PRI,28/02/1948, Veracruz ,Mayoría Relativa, Veracruz Distrito: 11 (Coatepec) ,Licenciatura,Administración y contaduría,LVII,22/08/1997,31/08/2000
GGBR,Blanca Rosa Garcia Galvan,Diputada Propietario,PRI,27/07/1960, Tamaulipas ,Mayoría Relativa, Tamaulipas Distrito: 8 (Tampico) ,Licenciatura,Comunicación,LVII,22/08/1997,31/08/2000
PGB,Bonfilio Peñaloza Garcia,Diputado Propietario,PRD,09/05/1961, ,Representación Proporcional, Guerrero Circunscripción: Quinta ,Licenciatura,Ciencias de la salud,LVII,22/08/1997,31/08/2000
FABM,Braulio Manuel Fernandez Aguirre,Diputado Propietario,PRI,17/06/1941, Coahuila ,Mayoría Relativa, Coahuila Distrito: 5 (Torreón) ,Licenciatura,Administración y contaduría,LVII,22/08/1997,31/08/2000
EBB,Bruno Espejel Basaldua,Diputado Propietario,PRD,12/06/1954, Distrito Federal ,Mayoría Relativa, Distrito Federal Distrito: 13 (Iztacalco) ,Pasante/Licenciatura trunca,Arquitectura y diseño,LVII,22/08/1997,31/08/2000
HZCA,Carlos Antonio Heredia Zubieta,Diputado Propietario,PRD,02/04/1956, ,Representación Proporcional, Tamaulipas Circunscripción: Segunda ,Maestría,Económico-financiera,LVII,22/08/1997,31/08/2000
RDCA,Carlos Antonio Romero Deschamps,Senador Propietario,PRI,17/01/1944, Tamaulipas ,Mayoría Relativa, Hidalgo ,Licenciatura,Administración y contaduría,LVII,22/08/1997,31/08/2000
RCCF,Carlos Fernando Rosas Cortes,Diputado Propietario,PRI,01/01/1900, ,Mayoría Relativa, Tabasco Distrito: 3 (Comalcalco) ,Licenciatura,Ciencias de la salud,LVII,22/08/1997,31/08/2000
AMCF,Carlos Francisco Arce Macias,Diputado Propietario,PAN,30/05/1955, ,Representación Proporcional, N/A ,Licenciatura,Derecho,LVII,22/08/1997,31/08/2000
CACF,Carlos Froylan G. Camacho Alcazar,Diputado Propietario,PAN,07/05/1954, Chihuahua ,Mayoría Relativa, Chihuahua Distrito: 4 (Ciudad Juárez) ,Licenciatura,Derecho,LVII,22/08/1997,31/08/2000
SSCH,Carlos Hernando Sobrino Sierra,Diputado Propietario,PRI,01/01/1900, ,Mayoría Relativa, Yucatán Distrito: 5 (Ticul) ,Licenciatura,Económico-financiera,LVII,22/08/1997,31/08/2000
ICC,Carlos Iñiguez Cervantes,Diputado Propietario,PAN,14/02/1947, Jalisco ,Mayoría Relativa, Jalisco Distrito: 13 (Guadalajara) ,Secundaria,,LVII,22/08/1997,31/08/2000
RVCJ,Carlos Jaime Rodriguez Velasco,Diputado Propietario,PRI,01/01/1900, ,Mayoría Relativa, Veracruz Distrito: 10 (Xalapa) ,Licenciatura,Derecho,LVII,22/08/1997,31/08/2000
JMCM,Carlos Martin Jimenez Macias,Diputado Propietario,PRI,01/05/1950, San Luis Potosí ,Representación Proporcional, San Luis Potosí Circunscripción: Segunda ,Licenciatura,Derecho,LVII,22/08/1997,31/08/2000
MPC,Carlos Medina Plascencia,Diputado Propietario,PAN,14/08/1955, Guanajuato ,Representación Proporcional, Guanajuato Circunscripción: Primera ,Maestría,Administración y contaduría,LVII,22/08/1997,31/08/2000
MVCO,Carlos Orsoe Morales Vazquez,Diputado Propietario,PRD,27/10/1957, Chiapas ,Mayoría Relativa, Chiapas Distrito: 9 (Tuxtla Gutiérrez) ,Licenciatura,Derecho,LVII,22/08/1997,31/08/2000
PVC,Carlos Payan Velver,Senador Propietario,PRD,02/02/1905, Distrito Federal ,Representación Proporcional, Distrito Federal ,,,LVII,22/08/1997,31/08/2000
FTC,Carolina O´Farrill Tapia,Diputada Propietario,Ind.,01/01/1900, ,Representación Proporcional, Distrito Federal Circunscripción: Cuarta ,,,LVII,22/08/1997,31/08/2000
LRCE,Cecilia Eulalia Lopez Rodriguez,Diputada Propietario,PRI,22/11/1938, México ,Mayoría Relativa, México Distrito: 35 (Tenancingo de Degollado) ,Profesor Normalista,,LVII,22/08/1997,31/08/2000
FRC,Celso Fuentes Ramirez,Diputado Propietario,PRI,29/06/1950, Puebla ,Mayoría Relativa, Puebla Distrito: 12 (Heroica Puebla de Zaragoza) ,Licenciatura,Ciencias políticas y sociales,LVII,22/08/1997,31/08/2000
SMC,Cirila Sanchez Mendoza,Senadora Propietario,PRI,09/07/1952, Oaxaca ,Mayoría Relativa, Oaxaca ,,,LVII,22/08/1997,31/08/2000
BMCM,Clara Marina Brugada Molina,Diputada Propietario,PRD,12/08/1963, Distrito Federal ,Mayoría Relativa, Distrito Federal Distrito: 22 (Iztapalapa) ,Licenciatura,Económico-financiera,LVII,22/08/1997,31/08/2000
TMCC,Clarisa Catalina Torres Mendez,Diputada Propietario,PRI,01/01/1900, ,Representación Proporcional, Baja California Circunscripción: Primera ,Doctorado,Ciencias políticas y sociales,LVII,22/08/1997,31/08/2000
FLCC,Claudia Carmen Fragoso Lopez,Diputada Propietario,PRD,18/05/1957, ,Mayoría Relativa, México Distrito: 13 (Ecatepec de Morelos) ,Licenciatura,Económico-financiera,LVII,22/08/1997,31/08/2000
GLCM,Claudio Marino Guerra Lopez,Diputado Propietario,PRI,18/05/1938, Oaxaca ,Mayoría Relativa, Oaxaca Distrito: 10 (Miahuatlán de Porfirio Díaz) ,Licenciatura,Económico-financiera,LVII,22/08/1997,31/08/2000
EMC,Crescenciano España Morales,Senador Propietario,PRI,05/05/1938, Puebla ,Mayoría Relativa, Puebla ,,,LVII,22/08/1997,31/08/2000
PAC,Cristina Portillo Ayala,Diputada Propietario,PRD,30/12/1969, Michoacán ,Representación Proporcional, Michoacán Circunscripción: Quinta ,Licenciatura,Otra,LVII,22/08/1997,31/08/2000
ASC,Cristobal Arias Solis,Senador Propietario,PRD,10/08/1954, Michoacán ,Primera Minoría, Michoacán ,Licenciatura,Derecho,LVII,22/08/1997,31/08/2000
SLC,Crisogono Sanchez Lara,Diputado Propietario,PRI,01/01/1900, ,Mayoría Relativa, San Luis Potosí Distrito: 7 (Tamazunchale) ,,,LVII,22/08/1997,31/08/2000
SRC,Cuauhtemoc Sandoval Ramirez,Senador Suplente,PRD,14/08/1950, Guerrero ,Representación Proporcional, N/A ,Licenciatura,Humanidades,LVII,22/08/1997,31/08/2000
ADC,Cupertino Alejo Dominguez,Diputado Propietario,PRI,22/09/1946, Puebla ,Mayoría Relativa, Puebla Distrito: 7 (Tepeaca) ,Técnico,Ciencias de la educación,LVII,22/08/1997,31/08/2000
PCCA,Cesar Agustin Pineda Castillo,Diputado Propietario,PRD,22/03/1953, ,Representación Proporcional, Oaxaca Circunscripción: Tercera ,Licenciatura,Derecho,LVII,22/08/1997,31/08/2000
LCC,Cesar Lonche Castellanos,Diputado Propietario,Ind.,06/04/1961, ,Mayoría Relativa, Distrito Federal Distrito: 1 (Gustavo A. Madero) ,,,LVII,22/08/1997,31/08/2000
DDD,David Davila Dominguez,Diputado Propietario,PRI,03/11/1939, Veracruz ,Mayoría Relativa, Veracruz Distrito: 20 (Acayucan) ,Licenciatura,Derecho,LVII,22/08/1997,31/08/2000
NMDM,David Miguel Noyola Martinez,Diputado Propietario,PRD,29/12/1957, ,Mayoría Relativa, México Distrito: 17 (Ecatepec de Morelos) ,Licenciatura,Ciencias de la educación,LVII,22/08/1997,31/08/2000
CPDR,David Ricardo Cervantes Peredo,Diputado Propietario,PRD,08/11/1959, ,Mayoría Relativa, Distrito Federal Distrito: 30 (Tlalpan) ,Licenciatura,Arquitectura y diseño,LVII,22/08/1997,31/08/2000
SdlTDJ,Demetrio Javier Sodi de la Tijera,Diputado Propietario,PRD,25/09/1944, Distrito Federal ,Mayoría Relativa, Distrito Federal Distrito: 26 (Magdalena Contreras) ,Licenciatura,Administración y contaduría,LVII,22/08/1997,31/08/2000
AAD,Diego Aguilar Acuña,Diputado Propietario,PRI,13/11/1946, Sinaloa ,Representación Proporcional, N/A ,Secundaria,,LVII,22/08/1997,31/08/2000
MGdLDA,Dionisio Alfredo Meade y Garcia de Leon,Diputado Propietario,PRI,12/02/1944, Distrito Federal ,Representación Proporcional, Distrito Federal Circunscripción: Cuarta ,Licenciatura,Derecho,LVII,22/08/1997,31/08/2000
YSD,Domingo Yorio Saqui,Diputado Propietario,PRI,01/01/1900, ,Mayoría Relativa, Veracruz Distrito: 6 (Papantla de Olarte) ,Licenciatura,Derecho,LVII,22/08/1997,31/08/2000
RPEM,Edgar Martin Ramirez Pech,Diputado Propietario,PAN,23/01/1968, Yucatán ,Mayoría Relativa, Yucatán Distrito: 4 (Mérida) ,Licenciatura,Administración y contaduría,LVII,22/08/1997,31/08/2000
AUE,Efrain Arizmendi Uribe,Diputado Suplente,PAN,18/12/1961, Guerrero ,Representación Proporcional, Distrito Federal Circunscripción: Cuarta ,Doctorado,Ciencias de la salud,LVII,22/08/1997,31/08/2000
ZGE,Efrain Zuñiga Galeana,Diputado Propietario,PRI,26/05/1942, Guerrero ,Representación Proporcional, Guerrero Circunscripción: Quinta ,Licenciatura,Derecho,LVII,22/08/1997,31/08/2000
EOE,Efren Enriquez Ordoñez,Diputado Propietario,PRI,26/04/1955, Durango ,Representación Proporcional, Durango Circunscripción: Segunda ,Licenciatura,Derecho,LVII,22/08/1997,31/08/2000
GMEE,Elba Esther Gordillo Morales,Senadora Propietario,PRI,06/02/1945, Chiapas ,Representación Proporcional, Chiapas ,Profesor Normalista,,LVII,22/08/1997,31/08/2000
CHEM,Elba Margarita Capuchino Herrera,Diputada Propietario,PRD,05/08/1955, Distrito Federal ,Representación Proporcional, Quintana Roo Circunscripción: Tercera ,Técnico,Arquitectura y diseño,LVII,22/08/1997,31/08/2000
RSE,Eleazar Robledo Sicairos,Senador Suplente,PRI,07/01/1944, Sinaloa ,Mayoría Relativa, Sinaloa ,Profesor Normalista,Ciencias de la educación,LVII,22/08/1997,31/08/2000
FPES,Eliher Saul Flores Prieto,Diputado Propietario,PAN,05/06/1940, Chihuahua ,Mayoría Relativa, Chihuahua Distrito: 3 (Ciudad Juárez) ,Licenciatura,Económico-financiera,LVII,22/08/1997,31/08/2000
GEE,Elodia Gutierrez Estrada,Diputada Propietario,PAN,10/06/1954, Coahuila ,Representación Proporcional, N/A ,Licenciatura,Ciencias políticas y sociales,LVII,22/08/1997,31/08/2000
CSE,Eloy Cantu Segovia,Senador Propietario,PRI,24/09/1952, Nuevo León ,Mayoría Relativa, Nuevo León ,Doctorado,Derecho,LVII,22/08/1997,31/08/2000
JFEP,Elsa Patria Jimenez Flores,Diputada Propietario,PRD,26/05/1957, ,Representación Proporcional, Distrito Federal Circunscripción: Cuarta ,,,LVII,22/08/1997,31/08/2000
GGE,Emilia Garcia Guzman,Diputada Propietario,PRI,27/09/1957, Oaxaca ,Mayoría Relativa, Oaxaca Distrito: 2 (Teotitlán de Flores Magon) ,,,LVII,22/08/1997,31/08/2000
GME,Emilio Gonzalez Marquez,Diputado Propietario,PAN,12/11/1960, Jalisco ,Representación Proporcional, N/A ,Licenciatura,Administración y contaduría,LVII,22/08/1997,31/08/2000
GLERJ,Emilio Rafael Jose Goicoechea Luna,Senador Propietario,PAN,22/10/1948, Sinaloa ,Primera Minoría, Sinaloa ,Licenciatura,Administración y contaduría,LVII,22/08/1997,31/08/2000
GCE,Enoe Gonzalez Cabrera,Diputado Propietario,PRI,25/12/1954, Puebla ,Mayoría Relativa, Puebla Distrito: 1 (Huauchinango) ,Maestría,Derecho,LVII,22/08/1997,31/08/2000
FME,Enrique Franco Muñoz,Senador Propietario,PAN,21/01/1942, Aguascalientes ,Primera Minoría, Aguascalientes ,Licenciatura,Psicología,LVII,22/08/1997,31/08/2000
JREG,Enrique Gabriel Jimenez Remus,Senador Propietario,PAN,23/03/1940, Jalisco ,Primera Minoría, Jalisco ,,,LVII,22/08/1997,31/08/2000
GPE,Enrique Gonzalez Pedrero,Senador Propietario,PRD,07/04/1930, Tabasco ,Representación Proporcional, Tabasco ,,,LVII,22/08/1997,31/08/2000
KHE,Enrique Ku Herrera,Diputado Propietario,PRI,28/08/1953, Campeche ,Representación Proporcional, Campeche Circunscripción: Tercera ,Maestría,Ciencias políticas y sociales,LVII,22/08/1997,31/08/2000
